Taxon name,N,0%,10%,25%,50%,75%,90%,100%
Quercus imbricaria ,1000,0.87,0.93,0.95,0.96,0.97,0.97,1.00
Quercus incana ,583,0.79,0.91,0.94,0.98,0.99,0.99,1.00
Quercus kelloggii ,124,0.40,0.52,0.60,0.66,0.71,0.75,0.81
Quercus laevis ,568,0.85,0.92,0.96,0.99,0.99,0.99,1.00
Quercus laurifolia ,792,0.63,0.90,0.93,0.98,0.99,0.99,1.00
Quercus lobata ,142,0.17,0.25,0.39,0.50,0.57,0.64,0.70
Quercus lyrata ,1356,0.81,0.88,0.90,0.94,0.98,0.99,1.00
Quercus macrocarpa ,3667,0.52,0.66,0.80,0.94,0.97,0.98,1.00
Quercus marilandica ,2744,0.55,0.82,0.90,0.94,0.97,0.99,1.00
Quercus michauxii ,1418,0.85,0.89,0.91,0.95,0.98,0.99,1.00
Quercus mohriana ,107,0.23,0.29,0.32,0.42,0.53,0.56,0.72
Quercus muehlenbergii ,2637,0.24,0.88,0.92,0.95,0.97,0.98,1.00
Quercus myrtifolia,144,0.97,0.98,0.99,0.99,0.99,0.99,1.00
Quercus nigra ,1551,0.78,0.88,0.90,0.94,0.98,0.99,1.00
Quercus nuttallii ,410,0.85,0.88,0.89,0.91,0.95,0.99,1.00
Quercus oblongifolia ,29,0.28,0.32,0.39,0.46,0.52,0.55,0.67
Quercus oglethorpensis,6,0.90,0.90,0.92,0.94,0.95,0.95,0.95
Quercus palustris ,1358,0.85,0.93,0.94,0.96,0.97,0.98,1.00
Quercus phellos,1456,0.83,0.88,0.90,0.94,0.97,0.99,1.00
Quercus prinus,1190,0.86,0.94,0.95,0.97,0.98,0.99,1.00
Quercus pungens,43,0.24,0.31,0.41,0.47,0.53,0.60,0.66
Quercus rubra,4296,0.81,0.93,0.95,0.97,0.98,0.99,1.00
Quercus rugosa,707,0.23,0.55,0.66,0.75,0.85,0.92,0.99
Quercus shumardii ,2257,0.47,0.84,0.90,0.94,0.96,0.99,1.00
Quercus stellata,3185,0.41,0.79,0.90,0.95,0.97,0.99,1.00
Quercus toumeyi,11,0.38,0.38,0.41,0.44,0.51,0.55,0.92
Quercus turbinella ,120,0.08,0.27,0.40,0.50,0.57,0.67,0.95
Quercus velutina ,3416,0.83,0.90,0.93,0.96,0.97,0.99,1.00
Quercus virginiana,740,0.27,0.48,0.65,0.91,0.99,0.99,1.00
Quercus wislizeni ,118,0.31,0.40,0.50,0.55,0.64,0.68,0.76
Rhamnus betulaefolia,266,0.11,0.32,0.51,0.66,0.85,0.91,0.95
Rhamnus californica ,301,0.11,0.37,0.46,0.55,0.66,0.73,0.97
Rhamnus crocea,193,0.09,0.35,0.41,0.51,0.58,0.66,0.91
Rhamnus purshiana,492,0.46,0.66,0.74,0.85,0.94,0.97,1.00
Rhododendron macrophyllum,98,0.63,0.68,0.76,0.81,0.87,0.94,0.99
