"specificEpithet","n","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass"
"mexicana",200,15369608,"NCU",1937,5,19,"1937-05-19","North Carolina","orange","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369608",-79.1273705014159,36.0547802778376,"county_centroid"
"mexicana",200,6344507,"MMNS",1984,6,28,"1984-06-28","Mississippi","Winston","https://midwestherbaria.org/portal/collections/individual/index.php?occid=6344507",-89.05,33.0463,"geo_referenced"
"mexicana",200,22620197,"KANU",1975,5,12,"1975-05-12","Kansas","McPherson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620197",-97.42753,38.41653,"geo_referenced"
"mexicana",200,24348693,"APSC",NA,NA,NA,"","Tennessee","maury","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24348693",-87.077267876634,35.6297239677556,"county_centroid"
"mexicana",200,22620202,"KANU",1969,4,20,"1969-04-20","Kansas","Anderson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620202",-95.24183,38.32978,"geo_referenced"
"mexicana",200,5894924,"MISS",1967,6,1,"1967-06-01","Mississippi","lincoln","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894924",-90.46343596329,31.5391524955217,"county_centroid"
"mexicana",200,21350435,"APSC",NA,NA,NA,"","Kentucky","calloway","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21350435",-88.2703741291041,36.6248439738083,"county_centroid"
"mexicana",200,5465885,"EKY",1996,6,23,"1996-06-23","Oklahoma","tulsa","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465885",-95.9428049690609,36.1338366907781,"county_centroid"
"mexicana",200,15369746,"NCU",1967,7,18,"1967-07-18","Alabama","russell","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369746",-85.194105390561,32.2951998508918,"county_centroid"
"mexicana",200,12508923,"DUKE",NA,NA,NA,"","Mississippi","scott","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508923",-89.5395490924115,32.4109260424355,"county_centroid"
"mexicana",200,12877067,"UARK",1942,9,4,"1942-09-04","Arkansas","cross","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877067",-90.7755108090697,35.2891573445256,"county_centroid"
"mexicana",200,11535440,"LSU",1991,3,14,"1991-03-14","Texas","gillespie","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535440",-98.9373273390755,30.3009652618382,"county_centroid"
"mexicana",200,5465868,"EKY",1995,5,21,"1995-05-21","Kentucky","jackson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465868",-84.003096316407,37.4220800678931,"county_centroid"
"mexicana",200,24641997,"NY",1974,5,18,"1974-05-18","Texas","Grimes Co.","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24641997",-95.895632,30.341873,"geo_referenced"
"mexicana",200,15369874,"NCU",1972,3,25,"1972-03-25","Arkansas","cleburne","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369874",-92.0413208110853,35.5298264683868,"county_centroid"
