"","specificEpithet","id","references","fruit_type","obs_number","fruit_diam_mm","who_done_it","note","certain"
"109","americana",3836818,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=3836818","fleshy",1,14.675,"SC","",""
"110","americana",13273822,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273822","fleshy",1,10.77,"SC","",""
"111","americana",13273822,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273823","fleshy",2,11.503,"SC","",""
"112","americana",13273822,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273824","fleshy",3,11.071,"SC","",""
"113","americana",13273822,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273825","fleshy",4,10.82,"SC","",""
"114","americana",13273822,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273826","fleshy",5,10.204,"SC","",""
"115","americana",19444199,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19444199","dried",1,13.509,"SC","",""
"116","americana",19444199,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19444200","dried",2,12.748,"SC","",""
"117","americana",19444199,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19444201","dried",3,13.975,"SC","",""
"118","americana",19444199,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19444202","dried",4,14.08,"SC","",""
"119","americana",5894064,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894064","fleshy",1,14.897,"SC","",""
"120","americana",5894064,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894065","fleshy",2,15.209,"SC","",""
"121","americana",5894064,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894066","fleshy",3,15.092,"SC","",""
"122","americana",19211306,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211306","",NA,NA,"SC","no fruit",""
"123","angustifolia",15948322,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948322","dried",1,14.3,"SC","",""
"124","angustifolia",15948322,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948323","dried",2,14.557,"SC","",""
"125","angustifolia",16658127,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16658127","dried",1,13.92,"SC","",""
"126","angustifolia",25180305,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25180305","dried",1,21.772,"SC","",""
"127","angustifolia",25180305,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25180306","dried",2,21.104,"SC","",""
"128","angustifolia",25180305,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25180307","dried",3,19.434,"SC","",""
"129","angustifolia",22620129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620129","fleshy",1,16.68,"SC","",""
"130","angustifolia",22620129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620130","fleshy",2,18.334,"SC","",""
"131","angustifolia",22620129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620131","fleshy",3,18.017,"SC","",""
"132","angustifolia",16537887,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16537887","dried",1,21.379,"SC","",""
"133","angustifolia",16537887,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16537888","dried",2,20.037,"SC","",""
"134","angustifolia",16537887,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16537889","dried",3,20.607,"SC","",""
"135","angustifolia",24660454,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24660454","dried",1,19.116,"SC","",""
"136","angustifolia",22620101,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620101","dried",1,18.418,"SC","",""
"137","angustifolia",22620101,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620102","dried",2,19.628,"SC","",""
"138","angustifolia",13280573,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13280573","fleshy",1,15.002,"SC","",""
"139","angustifolia",13280573,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13280574","fleshy",2,14.631,"SC","",""
"140","angustifolia",13280573,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13280575","fleshy",3,16.525,"SC","",""
"141","angustifolia",13280573,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13280576","fleshy",4,15.953,"SC","",""
"142","angustifolia",13280573,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13280577","fleshy",5,16.517,"SC","",""
"143","angustifolia",5734184,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5734184","",NA,NA,"SC","fruit is crushed, difficult to take size measurement",""
"144","angustifolia",15833725,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15833725","fleshy",1,13.583,"SC","",""
"145","angustifolia",15833725,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15833726","fleshy",2,14.787,"SC","",""
"146","angustifolia",15833725,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15833727","fleshy",3,16.015,"SC","",""
"147","angustifolia",15833725,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15833728","fleshy",4,12.643,"SC","",""
"148","angustifolia",15836689,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15836689","dried",1,15.03,"SC","",""
"149","angustifolia",22694233,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22694233","dried",1,15.526,"SC","",""
"150","angustifolia",22694233,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22694234","dried",2,15,"SC","",""
"151","angustifolia",22694233,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22694235","dried",3,14.306,"SC","",""
"152","angustifolia",22694233,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22694236","dried",4,12.252,"SC","",""
"153","angustifolia",22694233,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22694237","dried",5,13.411,"SC","",""
"154","angustifolia",12876588,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876588","pit",1,5.006,"SC","or dried?","U"
"155","angustifolia",12876588,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876589","pit",2,4.257,"SC","","U"
"156","angustifolia",12876588,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876590","pit",3,5.315,"SC","","U"
"157","angustifolia",12876588,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876591","pit",4,4.472,"SC","","U"
"158","angustifolia",12398601,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12398601","dried",1,21.682,"SC","",""
"159","angustifolia",22620080,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620080","dried",1,16.598,"SC","",""
"160","angustifolia",22620080,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620081","dried",2,16.379,"SC","",""
"161","angustifolia",22620080,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620082","dried",3,16.061,"SC","",""
"162","angustifolia",22620080,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620083","dried",4,16.784,"SC","",""
"163","angustifolia",22620080,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620084","dried",5,16.487,"SC","",""
"164","angustifolia",12508681,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508681","dried",1,11.95,"SC","",""
"165","angustifolia",12508681,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508682","dried",2,13.521,"SC","",""
"166","angustifolia",12508681,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508683","dried",3,14.705,"SC","",""
"167","angustifolia",12508681,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508684","dried",4,14.08,"SC","",""
"168","angustifolia",12508681,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508685","dried",5,12.582,"SC","",""
"169","angustifolia",12508667,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508667","dried",1,14.334,"SC","or fleshy ?","U"
"170","angustifolia",12508667,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508668","dried",2,14.011,"SC","","U"
"171","angustifolia",12508667,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508669","dried",3,11.32,"SC","","U"
"172","angustifolia",16914177,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16914177","fleshy",1,17.498,"SC","",""
"173","angustifolia",12500768,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12500768","dried",1,16.216,"SC","",""
"174","angustifolia",16914203,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16914203","",NA,NA,"SC","fruit is obscured",""
"175","angustifolia",15948360,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948360","dried",1,11.734,"SC","",""
"176","angustifolia",16192732,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16192732","fleshy",1,14.905,"SC","fruit is broken, hard to get accurate measurement.. also would this be fleshy or dried?","U"
"177","angustifolia",9293229,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9293229","dried",1,11.483,"SC","",""
"178","angustifolia",9293229,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9293230","dried",2,12.308,"SC","",""
"179","angustifolia",9293229,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9293231","dried",3,11.625,"SC","",""
"180","angustifolia",9293229,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9293232","dried",4,11.463,"SC","",""
"181","angustifolia",9293229,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9293233","dried",5,12.419,"SC","",""
"182","angustifolia",12508692,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508692","fleshy",1,13.424,"SC","or dried?","U"
"183","angustifolia",12508692,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508693","fleshy",2,14.38,"SC","","U"
"184","angustifolia",12508692,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508694","fleshy",3,13.395,"SC","","U"
"185","angustifolia",12508692,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508695","fleshy",4,15.368,"SC","","U"
"186","angustifolia",16913168,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16913168","pit",1,3.832,"SC","",""
"187","angustifolia",16913168,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16913169","pit",2,4.505,"SC","",""
"188","angustifolia",16913168,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16913170","pit",3,4.497,"SC","",""
"189","angustifolia",9176563,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176563","fleshy",1,10.751,"SC","",""
"190","angustifolia",9176563,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176564","fleshy",2,10.99,"SC","",""
"191","angustifolia",9176563,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176565","fleshy",3,10.592,"SC","",""
"192","angustifolia",9176563,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176566","fleshy",4,10.946,"SC","",""
"193","angustifolia",9176563,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176567","fleshy",5,10.917,"SC","",""
"194","angustifolia",14635132,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635132","dried",1,9.306,"SC","",""
"195","angustifolia",14635132,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635133","dried",2,7.217,"SC","",""
