"Family","Genus","Species","Pollination","Phen.sequence","heigh_height","flower_class","flo_time","av_fruit_time","shade_tol","name","pro","pro2","pol","class","class2","flo_type","shade_bin","fruit_bin"
"Rosaceae","Crataegus","punctata","insect","syn",10,"perfect",5.5,8.5,"intolerant","Crataegus_punctata",0,1,0,"1smalltree",0,0,0,0
"Rosaceae","Crataegus","macrosperma","insect","syn",7,"perfect",5.5,9.5,"intolerant","Crataegus_macrosperma",0,1,0,"0shrub",0,0,0,1
"Rosaceae","Crataegus","chrysocarpa","insect","syn",6,"perfect",5.5,9,"intolerant","Crataegus_chrysocarpa",0,1,0,"0shrub",0,0,0,1
"Rosaceae","Crataegus","crus-galli","insect","syn",10,"perfect",5.5,9.5,"intolerant","Crataegus_crus-galli",0,1,0,"1smalltree",0,0,0,1
"Rosaceae","Malus","pumila","insect","syn",12,"perfect",5,8.5,"moderately_tolerant","Malus_pumila",0,1,0,"1smalltree",0,0,1,0
"Rosaceae","Malus","coronaria","insect","ser",7,"perfect",5,10,"intolerant","Malus_coronaria",0,0,0,"0shrub",0,0,0,1
"Fabaceae","Cercis","canadensis","insect","pro/syn",25,"perfect",4.5,6.5,"moderately_tolerant","Cercis_canadensis",1,1,0,"2talltree",1,0,1,0
"Fabaceae","Gleditsia","triacanthos","insect","syn/ser",26,"dioecious",5.5,9.5,"intolerant","Gleditsia_triacanthos",0,0,0,"2talltree",1,1,0,1
"Fabaceae","Robinia","pseudoacacia","insect","ser",18,"perfect",5.5,10,"intolerant","Robinia_pseudoacacia",0,0,0,"1smalltree",1,0,0,1
"Cornaceae","Cornus","florida","insect","syn",10,"perfect",5.5,10,"tolerant","Cornus_florida",0,1,0,"1smalltree",0,0,1,1
"Cornaceae","Cornus","alternifolia","insect","ser",8,"perfect",5.5,10,"tolerant","Cornus_alternifolia",0,0,0,"0shrub",0,0,1,1
"Cornaceae","Cornus","amomum","insect","ser",4,"perfect",6,8.5,"intolerant","Cornus_amomum",0,0,0,"0shrub",0,0,0,0
