Family,Genus,Species,Pollination,Phen sequence,heigh_height,flower_class,flo_time,av_fruit_time,shade_tol,imputed_resp,imputed_pred
Rosaceae,Rubus,parviflorus,insect,ser,2.5,perfect,6.5,8.5,intolerant,Y,N
Rosaceae,Rubus,strigosis,insect,ser,2,perfect,5.5,7.5,intolerant,Y,N
Adoxaceae,Sambucus,canadensis,insect,ser,4,perfect,6.5,9.5,moderately_tolerant,Y,N
Adoxaceae,Sambucus,racemosa,insect,ser,4,perfect,4.5,6.5,moderately_tolerant,Y,N
Smilaceae,Smilax,hispida,insect,ser,6,dioecious,6,10.5,intolerant,Y,N
Smilaceae,Smilax,rotundifolia,insect,ser,5,dioecious,6,10.5,intolerant,Y,N
,Solanum,dulcamara,,non_woody,,,,,,,
Rosaceae,Spiraea,alba,insect,ser,2,perfect,7.5,9,intolerant,Y,N
Rosaceae,Spiraea,tomentosa,insect,ser,1.2,perfect,7.5,9,intolerant,Y,N
Caprifoliaceae,Symphoricarpos,albus,insect,ser,1,perfect,6.5,9.5,intolerant,Y,N
Anacardiaceae,Toxicodendron,radicans,insect,ser,1,dioecious,5.5,8.5,intolerant,Y,N
Anacardiaceae,Toxicodendron,vernix,insect,ser,6,dioecious,6,9,intolerant,Y,N
Adoxaceae,Viburnum,acerifolium,insect,ser,2,perfect,5.5,9,tolerant,Y,N
Adoxaceae,Viburnum,cassinoides,insect,ser,4,perfect,6,9,moderately_tolerant,Y,N
Adoxaceae,Viburnum,dentatum,insect,ser,3,perfect,5.5,8.5,moderately_tolerant,Y,N
Adoxaceae,Viburnum,rafinesquianum,insect,ser,2.5,perfect,5.5,8.5,moderately_tolerant,Y,N
Adoxaceae,Viburnum,trilobum,insect,ser,5,perfect,5.5,9,moderately_tolerant,Y,N
Vitaceae,Vitis,aestivalis,insect,ser,10,monoecious,5.5,9.5,very_intolerant,Y,N
Vitaceae,Vitis,riparia,insect,ser,10,monoecious,5.5,9.5,intolerant,Y,N
