datetime,date,doy,time,distance,transect,lai.unmasked,sel.unmasked,lai.masked,sel.masked
2008-05-03T16:27:00,5/3/08,124,16:27:00,300,225,1.55,0.12,1.67,NA
2008-05-03T16:24:00,5/3/08,124,16:24:00,300,240,1.37,0.02,1.48,NA
2008-05-03T16:20:00,5/3/08,124,16:20:00,300,255,1.43,0.28,1.54,NA
2008-05-03T16:13:00,5/3/08,124,16:13:00,300,270,1.47,0.06,1.59,NA
2008-05-03T16:10:00,5/3/08,124,16:10:00,300,285,1.23,0.06,1.33,NA
2008-05-03T16:08:00,5/3/08,124,16:08:00,300,300,0.92,0.04,0.99,NA
2008-05-03T16:06:00,5/3/08,124,16:06:00,300,315,0.99,0.06,1.07,NA
2008-05-03T16:02:00,5/3/08,124,16:02:00,300,330,1.3,0.2,1.4,NA
2008-05-03T17:09:00,5/3/08,124,17:09:00,300,345,0.85,0.06,0.92,NA
2008-05-03T16:30:00,5/3/08,124,16:30:00,400,225,1.36,0.1,1.47,NA
2008-05-03T16:33:00,5/3/08,124,16:33:00,400,240,1.1,0.05,1.19,NA
2008-05-03T16:36:00,5/3/08,124,16:36:00,400,255,0.99,0.02,1.07,NA
2008-05-03T16:39:00,5/3/08,124,16:39:00,400,270,1.49,0.13,1.61,NA
2008-05-03T16:44:00,5/3/08,124,16:44:00,400,285,1.4,0.24,1.51,NA
2008-05-03T16:49:00,5/3/08,124,16:49:00,400,300,1.14,0.13,1.23,NA
2008-05-03T16:54:00,5/3/08,124,16:54:00,400,315,1.1,0.16,1.19,NA
2008-05-03T16:58:00,5/3/08,124,16:58:00,400,330,2.03,0.21,2.19,NA
2008-05-03T17:04:00,5/3/08,124,17:04:00,400,345,2.16,0.48,2.33,NA
2008-05-16T14:18:00,5/16/08,137,14:18:00,100,225,2.66,0.06,2.19,NA
2008-05-16T14:16:00,5/16/08,137,14:16:00,100,240,2.63,0.04,2.14,NA
2008-05-16T14:14:00,5/16/08,137,14:14:00,100,255,3.26,0.19,2.9,NA
2008-05-16T14:11:00,5/16/08,137,14:11:00,100,270,3.39,0.02,3.1,NA
2008-05-16T14:09:00,5/16/08,137,14:09:00,100,285,2.96,0.02,2.58,NA
2008-05-16T14:08:00,5/16/08,137,14:08:00,100,300,3.1,0.02,2.7,NA
2008-05-16T14:05:00,5/16/08,137,14:05:00,100,315,3.16,0.12,2.8,NA
2008-05-16T14:04:00,5/16/08,137,14:04:00,100,330,3.15,0.12,2.72,NA
2008-05-16T14:01:00,5/16/08,137,14:01:00,100,345,4.31,0.1,4.25,NA
2008-05-16T14:22:00,5/16/08,137,14:22:00,200,225,3.35,0.11,3.03,NA
2008-05-16T14:24:00,5/16/08,137,14:24:00,200,240,2.98,0.1,2.56,NA
2008-05-16T14:26:00,5/16/08,137,14:26:00,200,255,4.23,0.24,4,NA
2008-05-16T14:27:00,5/16/08,137,14:27:00,200,270,5.31,0.08,5.23,NA
2008-05-16T14:30:00,5/16/08,137,14:30:00,200,285,5.16,0.08,5.32,NA
2008-05-16T14:32:00,5/16/08,137,14:32:00,200,300,3.42,0.08,3.11,NA
2008-05-16T14:35:00,5/16/08,137,14:35:00,200,315,3.37,0.2,3.05,NA
2008-05-16T14:38:00,5/16/08,137,14:38:00,200,330,3.63,0.15,3.24,NA
2008-05-16T07:39:00,5/16/08,137,7:39:00,200,345,4.74,0.16,2.23,NA
2008-05-16T14:59:00,5/16/08,137,14:59:00,300,225,3.43,0.05,3.16,NA
2008-05-16T14:57:00,5/16/08,137,14:57:00,300,240,3.07,0.07,2.69,NA
2008-05-16T14:54:00,5/16/08,137,14:54:00,300,255,3.59,0.15,3.29,NA
2008-05-16T14:52:00,5/16/08,137,14:52:00,300,270,3.12,0.02,2.7,NA
2008-05-16T14:49:00,5/16/08,137,14:49:00,300,285,3.26,0.11,2.9,NA
2008-05-16T14:47:00,5/16/08,137,14:47:00,300,300,3.03,0.12,2.69,NA
2008-05-16T14:45:00,5/16/08,137,14:45:00,300,315,2.95,0.05,2.58,NA
2008-05-17T07:36:00,5/17/08,137,7:36:00,300,345,3.13,0.06,2.84,NA
2008-05-17T07:08:00,5/17/08,137,7:08:00,400,225,3.33,0.1,2.97,NA
2008-05-17T07:12:00,5/17/08,137,7:12:00,400,240,3.18,0.06,2.75,NA
2008-05-17T07:15:00,5/17/08,137,7:15:00,400,255,3.04,0.03,2.63,NA
2008-05-17T07:16:00,5/17/08,137,7:16:00,400,255,3.04,0.06,2.64,NA
2008-05-17T07:18:00,5/17/08,137,7:18:00,400,270,3.71,0.07,3.42,NA
2008-05-17T07:21:00,5/17/08,137,7:21:00,400,285,3.38,0.39,3.16,NA
2008-05-17T07:28:00,5/17/08,137,7:28:00,400,315,2.95,0.2,2.62,NA
2008-05-17T07:31:00,5/17/08,137,7:31:00,400,330,4.21,0.12,4.08,NA
2008-06-05T15:12:00,6/5/08,157,15:12:00,100,225,3.98,0.03,4.63,NA
2008-06-05T15:11:00,6/5/08,157,15:11:00,100,240,3.69,0.15,4.2,NA
2008-06-05T15:09:00,6/5/08,157,15:09:00,100,255,4.12,0.22,4.78,NA
2008-06-05T15:08:00,6/5/08,157,15:08:00,100,270,4.69,0.09,5.5,NA
2008-06-05T15:06:00,6/5/08,157,15:06:00,100,285,4.03,0.02,4.64,NA
2008-06-05T15:04:00,6/5/08,157,15:04:00,100,300,4.17,0.05,4.79,NA
2008-06-05T15:02:00,6/5/08,157,15:02:00,100,315,4.1,0.25,4.84,NA
2008-06-05T15:01:00,6/5/08,157,15:01:00,100,330,4.05,0.11,4.65,NA
2008-06-05T14:59:00,6/5/08,157,14:59:00,100,345,5.23,0,6.2,NA
2008-06-05T15:16:00,6/5/08,157,15:16:00,200,225,4.46,0.22,5.17,NA
2008-06-05T15:18:00,6/5/08,157,15:18:00,200,240,4.07,0.17,4.64,NA
2008-06-05T15:20:00,6/5/08,157,15:20:00,200,255,5.3,0.1,6.25,NA
2008-06-05T15:22:00,6/5/08,157,15:22:00,200,270,5.51,0.1,6.26,NA
2008-06-05T15:24:00,6/5/08,157,15:24:00,200,285,5.56,0.06,6.5,NA
2008-06-05T15:26:00,6/5/08,157,15:26:00,200,300,4.07,0.06,4.72,NA
2008-06-05T15:33:00,6/5/08,157,15:33:00,200,315,4.09,0.2,4.74,NA
2008-06-05T15:35:00,6/5/08,157,15:35:00,200,330,4.68,0.13,5.35,NA
2008-06-05T15:59:00,6/5/08,157,15:59:00,300,225,4.19,0.06,4.84,NA
2008-06-05T15:57:00,6/5/08,157,15:57:00,300,240,3.73,0.17,4.32,NA
2008-06-05T15:54:00,6/5/08,157,15:54:00,300,255,4.82,0.12,5.58,NA
2008-06-05T15:52:00,6/5/08,157,15:52:00,300,270,4.24,0.11,4.88,NA
2008-06-05T15:49:00,6/5/08,157,15:49:00,300,285,4.03,0.15,4.64,NA
2008-06-05T15:46:00,6/5/08,157,15:46:00,300,300,4.02,0.24,4.77,NA
2008-06-05T15:44:00,6/5/08,157,15:44:00,300,315,3.96,0.14,4.48,NA
2008-06-05T15:40:00,6/5/08,157,15:40:00,300,330,4.52,0.25,5.26,NA
2008-06-05T16:37:00,6/5/08,157,16:37:00,300,345,3.84,0.14,4.34,NA
2008-06-05T16:03:00,6/5/08,157,16:03:00,400,225,3.88,0.11,4.58,NA
2008-06-05T16:06:00,6/5/08,157,16:06:00,400,240,4.04,0.18,4.72,NA
2008-06-05T16:09:00,6/5/08,157,16:09:00,400,255,3.74,0.05,4.33,NA
2008-06-05T16:13:00,6/5/08,157,16:13:00,400,270,4.4,0.19,5.17,NA
2008-06-05T16:16:00,6/5/08,157,16:16:00,400,285,3.85,0.75,4.47,NA
2008-06-05T16:23:00,6/5/08,157,16:23:00,400,300,3.82,0.12,4.17,NA
2008-06-05T16:26:00,6/5/08,157,16:26:00,400,315,3.72,0.25,4.24,NA
2008-06-05T16:29:00,6/5/08,157,16:29:00,400,330,5.07,0.12,5.93,NA
2008-06-05T16:34:00,6/5/08,157,16:34:00,400,345,4.97,0.3,5.88,NA
2008-06-16T14:42:00,6/16/08,137,14:42:00,300,330,3.55,0.18,3.21,NA
2008-09-22T12:00:00,9/22/08,266,12:00:00,300,225,4.14,0.11,4.83,NA
2008-09-22T11:55:00,9/22/08,266,11:55:00,300,240,3.94,0.19,4.66,NA
2008-09-22T11:52:00,9/22/08,266,11:52:00,300,255,4.85,0.1,5.68,NA
2008-09-22T11:49:00,9/22/08,266,11:49:00,300,270,4.44,0.1,5.21,NA
2008-09-22T11:46:00,9/22/08,266,11:46:00,300,285,4.14,0.04,4.96,NA
2008-09-22T11:43:00,9/22/08,266,11:43:00,300,300,4.38,0.14,5.29,NA
2008-09-22T12:03:00,9/22/08,266,12:03:00,400,225,3.77,0.18,4.38,NA
2008-09-22T12:07:00,9/22/08,266,12:07:00,400,240,4.12,0.1,4.75,NA
2008-09-22T12:11:00,9/22/08,266,12:11:00,400,255,3.84,0.07,4.53,NA
2008-09-22T12:16:00,9/22/08,266,12:16:00,400,270,4.13,0.22,4.9,NA
2008-09-22T12:21:00,9/22/08,266,12:21:00,400,285,4.5,0.51,5.53,NA
2008-09-22T12:26:00,9/22/08,266,12:26:00,400,300,3.82,0.25,4.45,NA
2008-09-22T12:29:00,9/22/08,266,12:29:00,400,315,3.39,0.44,4.03,NA
2008-09-22T12:33:00,9/22/08,266,12:33:00,400,330,4.88,0.09,5.76,NA
2008-09-29T10:17:00,9/29/08,273,10:17:00,100,225,3.51,0.02,4.19,NA
2008-09-29T10:13:00,9/29/08,273,10:13:00,100,240,3.24,0.14,3.71,NA
2008-09-29T10:10:00,9/29/08,273,10:10:00,100,255,3.37,0.11,3.96,NA
2008-09-29T10:08:00,9/29/08,273,10:08:00,100,270,4.22,0.17,4.91,NA
2008-09-29T10:06:00,9/29/08,273,10:06:00,100,285,3.56,0.04,4.11,NA
2008-09-29T10:04:00,9/29/08,273,10:04:00,100,300,3.6,0.04,4.08,NA
2008-09-29T10:02:00,9/29/08,273,10:02:00,100,315,3.66,0.21,4.27,NA
2008-09-29T09:59:00,9/29/08,273,9:59:00,100,330,3.66,0.1,4.22,NA
2008-09-29T09:57:00,9/29/08,273,9:57:00,100,345,4.68,0.09,5.55,NA
2008-09-29T10:22:00,9/29/08,273,10:22:00,200,225,4,0.14,4.69,NA
2008-09-29T10:24:00,9/29/08,273,10:24:00,200,240,3.37,0.19,3.81,NA
2008-09-29T10:27:00,9/29/08,273,10:27:00,200,255,4.65,0.21,5.52,NA
2008-09-29T10:29:00,9/29/08,273,10:29:00,200,270,5.63,0.07,6.93,NA
2008-09-29T10:33:00,9/29/08,273,10:33:00,200,285,4.88,0.17,5.79,NA
2008-09-29T10:35:00,9/29/08,273,10:35:00,200,300,3.82,0.21,4.59,NA
2008-09-29T10:38:00,9/29/08,273,10:38:00,200,315,3.58,0.23,4.34,NA
2008-09-29T10:43:00,9/29/08,273,10:43:00,200,330,4.26,0.15,5.15,NA
2008-09-29T12:54:00,9/29/08,273,12:54:00,300,225,3.4,0.11,4.03,NA
2008-09-29T12:51:00,9/29/08,273,12:51:00,300,240,3.03,0.19,3.53,NA
2008-09-29T12:48:00,9/29/08,273,12:48:00,300,255,3.84,0.1,4.45,NA
2008-09-29T12:45:00,9/29/08,273,12:45:00,300,270,3.53,0.11,4.12,NA
2008-09-29T10:52:00,9/29/08,273,10:52:00,300,285,3.85,0.14,4.69,NA
2008-09-29T13:57:00,9/29/08,273,13:57:00,300,285,3.28,0.12,3.82,NA
2008-09-29T10:50:00,9/29/08,273,10:50:00,300,300,4.23,0.13,5.6,NA
