"year","GDD.flo","treeyear","tree.id","burst.flo","GDD.bb","burst.bb","species","GDD.diff","FLS.diff"
1994,748.129557888084,"BELE-01 1994","BELE-01",135,688.026465591051,127,"BELE",-60.1030922970335,-8
1995,559.741588473017,"BELE-01 1995","BELE-01",126,590.292717951228,130,"BELE",30.5511294782112,4
1997,595.71096328469,"BELE-01 1997","BELE-01",144,524.671762769345,132,"BELE",-71.0392005153451,-12
1998,639.292408152087,"BELE-01 1998","BELE-01",122,629.273335440269,121,"BELE",-10.0190727118177,-1
2000,709.651477601474,"BELE-01 2000","BELE-01",128,709.651477601474,128,"BELE",0,0
2002,617.228070821802,"BELE-01 2002","BELE-01",113,705.852685960632,127,"BELE",88.6246151388294,14
1995,614.802486148947,"BELE-02 1995","BELE-02",134,614.802486148947,134,"BELE",0,0
1994,748.129557888084,"BELE-03 1994","BELE-03",135,733.571225660945,133,"BELE",-14.5583322271392,-2
1998,639.292408152087,"BELE-03 1998","BELE-03",122,666.010422081136,125,"BELE",26.718013929049,3
2000,709.651477601474,"BELE-03 2000","BELE-03",128,779.853821475623,134,"BELE",70.2023438741493,6
1991,828.972314989761,"BEPA-01 1991","BEPA-01",135,688.524033415531,119,"BEPA",-140.44828157423,-16
1992,822.97412890937,"BEPA-01 1992","BEPA-01",145,723.132393561758,134,"BEPA",-99.8417353476113,-11
1994,748.129557888084,"BEPA-01 1994","BEPA-01",135,688.026465591051,127,"BEPA",-60.1030922970335,-8
1995,614.802486148947,"BEPA-01 1995","BEPA-01",134,590.292717951228,130,"BEPA",-24.5097681977189,-4
1997,595.71096328469,"BEPA-01 1997","BEPA-01",144,542.343766737316,134,"BEPA",-53.3671965473749,-10
1998,639.292408152087,"BEPA-01 1998","BEPA-01",122,639.292408152087,122,"BEPA",0,0
2000,665.03485844943,"BEPA-01 2000","BEPA-01",124,696.318965860522,127,"BEPA",31.2841074110921,3
2002,617.228070821802,"BEPA-01 2002","BEPA-01",113,693.804403583313,126,"BEPA",76.576332761511,13
1991,760.407450712384,"BEPA-02 1991","BEPA-02",129,688.524033415531,119,"BEPA",-71.8834172968525,-10
1994,748.129557888084,"BEPA-02 1994","BEPA-02",135,655.624511872165,122,"BEPA",-92.5050460159194,-13
1995,648.834479756643,"BEPA-02 1995","BEPA-02",139,559.741588473017,126,"BEPA",-89.0928912836265,-13
1998,675.881432460819,"BEPA-02 1998","BEPA-02",126,601.994519910666,118,"BEPA",-73.8869125501531,-8
2002,588.4897387116,"BEPA-02 2002","BEPA-02",109,612.228070821802,112,"BEPA",23.7383321102025,3
1990,767.372957810993,"BEPA-03 1990","BEPA-03",133,650.115585920037,118,"BEPA",-117.257371890957,-15
1991,760.407450712384,"BEPA-03 1991","BEPA-03",129,688.524033415531,119,"BEPA",-71.8834172968525,-10
1994,748.129557888084,"BEPA-03 1994","BEPA-03",135,623.800325023225,118,"BEPA",-124.329232864859,-17
1998,639.292408152087,"BEPA-03 1998","BEPA-03",122,573.531691013236,113,"BEPA",-65.760717138851,-9
1990,733.513798781658,"BEPO-01 1990","BEPO-01",129,699.729010601527,124,"BEPO",-33.7847881801305,-5
1991,760.407450712384,"BEPO-01 1991","BEPO-01",129,657.019511556171,116,"BEPO",-103.387939156213,-13
1992,822.97412890937,"BEPO-01 1992","BEPO-01",145,723.132393561758,134,"BEPO",-99.8417353476113,-11
1993,743.150651056004,"BEPO-01 1993","BEPO-01",134,563.558309960642,116,"BEPO",-179.592341095361,-18
1994,748.129557888084,"BEPO-01 1994","BEPO-01",135,655.624511872165,122,"BEPO",-92.5050460159194,-13
