Family,Genus,Species,Pollination,Phen.sequence,heigh_height,flower_class,flo_time,av_fruit_time,shade_tol,imputed_resp,imputed_pred,name,pro,pro2,pol,class,class2,flo_type,shade_bin,fruiting,pro3
Rhamnaceae,Rhamnus,alnifolia,insect,syn,2,dioecious,5.5,8.5,intolerant,N,N,Rhamnus_alnifolia,0,1,0,0shrub,0,1,0,8.5,0
Rhamnaceae,Rhamnus,cathartica,insect,syn,7,dioecious,5,8.5,tolerant,N,N,Rhamnus_cathartica,0,1,0,0shrub,0,1,1,8.5,0
Rhamnaceae,Ceanothus,americanus,insect,ser,1,perfect,7,9.5,intolerant,Y,N,Ceanothus_americanus,0,0,0,0shrub,0,0,0,9.5,0
Rhamnaceae,Ceanothus,herbaceus,insect,ser,0.8,perfect,6,9.5,intolerant,Y,N,Ceanothus_herbaceus,0,0,0,0shrub,0,0,0,9.5,0
Elaeagnaceae,Elaeagnus,umbellata,insect,ser,7,perfect,6,8.5,intolerant,Y,N,Elaeagnus_umbellata,0,0,0,0shrub,0,0,0,8.5,0
Elaeagnaceae,Shepherdia,canadensis,insect,pro,3,dioecious,4.5,7.5,intolerant,N,N,Shepherdia_canadensis,1,1,0,0shrub,0,1,0,7.5,1
Ulmaceae,Ulmus,thomasii,wind,pro,22,perfect,4.5,5,moderately_tolerant,N,N,Ulmus_thomasii,1,1,1,2talltree,1,0,1,5,1
Ulmaceae,Ulmus,americana,wind,pro,30,perfect,3.5,5,moderately_tolerant,N,N,Ulmus_americana,1,1,1,2talltree,1,0,1,5,1
Ulmaceae,Ulmus,rubra,wind,pro,24,perfect,3.5,5,moderately_tolerant,N,N,Ulmus_rubra,1,1,1,2talltree,1,0,1,5,1
Ulmaceae,Ulmus,pumila,wind,pro,26,perfect,3.5,4,moderately_tolerant,N,N,Ulmus_pumila,1,1,1,2talltree,1,0,1,4,1
Cannabaceae,Celtis,occidentalis,wind,syn/ser,15,monoecious,5,9.5,moderately_tolerant,N,N,Celtis_occidentalis,0,0,1,1smalltree,0,1,1,9.5,0
Cannabaceae,Celtis,tenufolia,wind,syn/ser,6,monoecious,5,9,moderately_tolerant,N,N,Celtis_tenuifolia,0,0,1,0shrub,0,1,1,9,0
Moraceae,Morus,alba,wind,syn,18,dioecious,5.5,6.5,intolerant,N,N,Morus_alba,0,1,1,1smalltree,1,1,0,6.5,0
Moraceae,Morus,rubra,wind,syn,15,dioecious,5.5,7,moderately_tolerant,N,N,Morus_rubra,0,1,1,1smalltree,0,1,1,7,0
Moraceae,Maclura,pomifera,wind,ser,18,dioecious,5.5,9.5,intolerant,N,N,Maclura_pomifera,0,0,1,1smalltree,1,1,0,9.5,0
