"","id","name","GEN.SPA","treatment","Force","Light","Chill","good_flaskid","treatcode","Flo.poss.","Dead.alive","photoperiod","temp_day","temp_night","chilldays","p_z","f_z","c_z","phase","DOY","surv","floposs"
"97","ILEVER01 HF DB_CS0_21","ILEVER01 HF DB","ILE.VER","CS0","C","S",0,"CS0_21","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"98","VIBACE09 HF DB_CS0_21","VIBACE09 HF DB","VIB.ACE","CS0","C","S",0,"CS0_21","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"99","COMPER 8 HF DB_CS0_20","COMPER 8 HF DB","COM.PER","CS0","C","S",0,"CS0_20","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"100","PRUPEN16 HF DB_CS0_20","PRUPEN16 HF DB","PRU.PEN","CS0","C","S",0,"CS0_20","C_S_0","?","A",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"101","COMPER 5 HF DB_CS0_2","COMPER 5 HF DB","COM.PER","CS0","C","S",0,"CS0_2","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"102","ACEPEN16 HF DB_CS0_19","ACEPEN16 HF DB","ACE.PEN","CS0","C","S",0,"CS0_19","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"103","ACERUB25 HF DB_CS0_19","ACERUB25 HF DB","ACE.RUB","CS0","C","S",0,"CS0_19","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"104","ILEVER08 HF DB_CS0_19","ILEVER08 HF DB","ILE.VER","CS0","C","S",0,"CS0_19","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"105","ACEPEN20 HF DB_CS0_18","ACEPEN20 HF DB","ACE.PEN","CS0","C","S",0,"CS0_18","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"106","ACERUB23 HF DB_CS0_18","ACERUB23 HF DB","ACE.RUB","CS0","C","S",0,"CS0_18","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"107","ILEMUC 9 HF DB_CS0_17","ILEMUC 9 HF DB","ILE.MUC","CS0","C","S",0,"CS0_17","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"108","PRUPEN 24 HF DB_CS0_17","PRUPEN 24 HF DB","PRU.PEN","CS0","C","S",0,"CS0_17","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"109","VIBACE07 HF DB_CS0_17","VIBACE07 HF DB","VIB.ACE","CS0","C","S",0,"CS0_17","C_S_0","?","A",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"110","ACERUB28 HF DB_CS0_16","ACERUB28 HF DB","ACE.RUB","CS0","C","S",0,"CS0_16","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"111","VIBACE11 HF DB_CS0_16","VIBACE11 HF DB","VIB.ACE","CS0","C","S",0,"CS0_16","C_S_0","Y","A",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"112","ACEPEN16 HF DB_CS0_15","ACEPEN16 HF DB","ACE.PEN","CS0","C","S",0,"CS0_15","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"113","ACERUB23 HF DB_CS0_15","ACERUB23 HF DB","ACE.RUB","CS0","C","S",0,"CS0_15","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"114","ILEVER01 HF DB_CS0_15","ILEVER01 HF DB","ILE.VER","CS0","C","S",0,"CS0_15","C_S_0","?","A",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"115","ILEMUC 9 HF DB_CS0_14","ILEMUC 9 HF DB","ILE.MUC","CS0","C","S",0,"CS0_14","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
