specificEpithet,id,institutionCode,year,month,day,eventDate,stateProvince,county,references,lon,lat,geoclass,flowers,leaves,bbch.f,bbch.v,doy,bbch.v.scale,species,YEAR.hin
mexicana,21268930,UAM,1990,3,28,3/28/90,Arkansas,phillips,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268930,-90.85023789,34.43593202,county_centroid,Y,N,67,0,87,1,mexicana,10
mexicana,5733566,LSU,1980,3,13,3/13/80,Texas,travis,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5733566,-97.77699682,30.32867542,county_centroid,Y,Y,67,9,73,2,mexicana,0
mexicana,10246812,APCR,1971,3,8,3/8/71,Arkansas,pope,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246812,-93.03339602,35.44081908,county_centroid,Y,Y,65,9,67,2,mexicana,0
mexicana,13422268,LL,1945,3,16,3/16/45,Texas,tarrant,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13422268,-97.29132438,32.76668758,county_centroid,Y,N,65,0,75,1,mexicana,0
americana,16514005,COLO,1965,4,19,4/19/65,Missouri,pulaski,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16514005,-92.20316979,37.82033466,county_centroid,Y,N,65,0,109,1,americana,0
americana,20393125,PH,1861,4,15,1861-04-00,Pennsylvania,Philadelphia,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393125,-75.239762,39.966592,geo_referenced,Y,Y,67,15,105,4,americana,0
americana,5267442,WIS,1976,5,8,5/8/76,Wisconsin,richland,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5267442,-90.42680565,43.38185921,county_centroid,Y,Y,65,9,129,2,americana,0
americana,5063097,WIS,1997,5,25,5/25/97,Wisconsin,dane,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5063097,-89.42050383,43.06816145,county_centroid,Y,Y,67,17,145,5,americana,17
americana,5734174,LSU,1966,4,9,4/9/66,Texas,newton,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5734174,-93.75126275,30.80378587,county_centroid,Y,N,67,0,99,1,americana,0
americana,4209112,BRY,1986,3,7,3/7/86,Utah,Washington,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209112,-114.02103,37.14455,geo_referenced,Y,N,65,0,66,1,americana,6
americana,13793104,COLO,1961,5,9,5/9/61,Colorado,jefferson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13793104,-105.2485531,39.59053015,county_centroid,Y,Y,65,11,129,3,americana,0
americana,22620025,KANU,1975,4,25,4/25/75,Kansas,Johnson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620025,-94.92723,38.83903,geo_referenced,Y,Y,67,15,115,4,americana,0
americana,5151782,WIS,1957,5,7,5/7/57,Wisconsin,iowa,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5151782,-90.13356235,43.00165678,county_centroid,Y,Y,65,15,127,4,americana,0
americana,20393241,PH,1891,5,2,1891-05-02,Pennsylvania,York,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393241,-76.534086,40.05083,geo_referenced,Y,Y,65,17,122,5,americana,0
americana,16905224,COCO,1978,5,9,5/9/78,Colorado,el paso,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16905224,-104.5174584,38.82498969,county_centroid,Y,Y,65,15,129,4,americana,0
