"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"784","3118","49.4833,8.66667","8.66667","49.4833","120","129","70","1952",164,110,-54
"787","3124","49.4667,9.21667","9.21667","49.4667","390","129","70","1952",177,114,-63
"796","3231","47.7667,9","9","47.7667","420","129","70","1952",172,117,-55
"797","3254","47.6,7.63333","7.63333","47.6","280","129","70","1952",173,118,-55
"803","3370","48.55,8.73333","8.73333","48.55","410","129","70","1952",180,127,-53
"805","3483","48.4,11.75","11.75","48.4","470","129","70","1952",166,118,-48
"808","3490","48.1667,11.4833","11.4833","48.1667","510","129","70","1952",184,121,-63
"813","3516","47.6833,11.5667","11.5667","47.6833","680","129","70","1952",138,112,-26
"821","3545","48.4667,11.9333","11.9333","48.4667","420","129","70","1952",170,111,-59
"842","3693","48.8333,12.9667","12.9667","48.8333","310","129","70","1952",183,119,-64
"843","3694","48.8833,12.6","12.6","48.8833","330","129","70","1952",180,118,-62
"850","3738","48.9333,11.8667","11.8667","48.9333","480","129","70","1952",178,147,-31
"851","3739","48.8167,11.7667","11.7667","48.8167","350","129","70","1952",182,117,-65
"852","3743","49.3,12.9167","12.9167","49.3","460","129","70","1952",170,121,-49
"853","3744","49.1333,12.7333","12.7333","49.1333","480","129","70","1952",170,117,-53
"854","3748","48.6667,12.7","12.7","48.6667","390","129","70","1952",171,118,-53
"855","3750","48.5833,12.1833","12.1833","48.5833","390","129","70","1952",182,114,-68
"862","3791","48.7667,11.9667","11.9667","48.7667","430","129","70","1952",192,131,-61
"873","3832","49.45,11.8667","11.8667","49.45","370","129","70","1952",184,116,-68
"874","3834","49.0167,12.1","12.1","49.0167","340","129","70","1952",173,128,-45
"876","3843","49.3167,11.95","11.95","49.3167","370","129","70","1952",181,124,-57
"881","3857","49.2,12.0333","12.0333","49.2","360","129","70","1952",184,151,-33
"885","3873","49.75,11.7333","11.7333","49.75","470","129","70","1952",185,126,-59
"895","3949","49.2167,12.5167","12.5167","49.2167","360","129","70","1952",180,116,-64
"898","3959","49.5333,11.6833","11.6833","49.5333","420","129","70","1952",190,127,-63
"900","3963","49.95,12.2833","12.2833","49.95","550","129","70","1952",188,124,-64
"905","3991","50.2667,10.9667","10.9667","50.2667","300","129","70","1952",178,119,-59
"906","3992","49.7167,11.0667","11.0667","49.7167","270","129","70","1952",176,112,-64
"910","4015","49.8667,11","11","49.8667","290","129","70","1952",170,111,-59
"915","4035","49.9,11.5833","11.5833","49.9","380","129","70","1952",181,127,-54
"920","4054","49.9333,11.2833","11.2833","49.9333","400","129","70","1952",188,126,-62
"921","4055","49.95,11.1667","11.1667","49.95","450","129","70","1952",191,136,-55
"923","4065","49.7,10.8167","10.8167","49.7","270","129","70","1952",176,137,-39
"925","4072","50.3833,11.8833","11.8833","50.3833","570","129","70","1952",164,132,-32
"926","4075","50.25,11.3333","11.3333","50.25","320","129","70","1952",182,126,-56
"927","4085","50.2333,11.3667","11.3667","50.2333","320","129","70","1952",171,107,-64
"938","4128","49.85,11.6","11.6","49.85","480","129","70","1952",188,121,-67
"941","4132","49.7667,11.55","11.55","49.7667","420","129","70","1952",182,121,-61
"944","4142","50.2167,11.5667","11.5667","50.2167","580","129","70","1952",191,123,-68
"948","4150","50.0667,12.1833","12.1833","50.0667","480","129","70","1952",191,125,-66
"952","4160","48.9,11.1833","11.1833","48.9","400","129","70","1952",171,119,-52
"956","4172","49.3333,10.8","10.8","49.3333","400","129","70","1952",191,123,-68
"960","4180","49.0667,10.3167","10.3167","49.0667","440","129","70","1952",181,121,-60
"964","4197","49.55,11.0333","11.0333","49.55","300","129","70","1952",170,113,-57
"971","4222","49.2,11.1833","11.1833","49.2","380","129","70","1952",180,116,-64
"977","4237","49.3667,11.2667","11.2667","49.3667","380","129","70","1952",187,124,-63
"978","4239","49.4,11.4","11.4","49.4","450","129","70","1952",178,126,-52
"979","4241","49.2833,10.2667","10.2667","49.2833","500","129","70","1952",174,111,-63
"981","4246","49.6833,10.3","10.3","49.6833","290","129","70","1952",177,120,-57
"984","4251","49.3667,10.95","10.95","49.3667","380","129","70","1952",186,122,-64
"985","4256","49.45,10.3167","10.3167","49.45","350","129","70","1952",179,124,-55
"995","4322","50.2,10.7667","10.7667","50.2","310","129","70","1952",184,118,-66
"996","4324","50.05,10.7167","10.7167","50.05","330","129","70","1952",184,116,-68
"998","4335","50.1,9.8","9.8","50.1","240","129","70","1952",186,119,-67
"1000","4347","50.1167,9.9","9.9","50.1167","180","129","70","1952",174,124,-50
"1004","4363","50,10.6167","10.6167","50","240","129","70","1952",180,115,-65
"1005","4364","50.15,10.4333","10.4333","50.15","290","129","70","1952",191,126,-65
"1008","4393","50.3,10.5667","10.5667","50.3","310","129","70","1952",182,118,-64
