"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"534","3086","49.3167,8.81667","8.81667","49.3167","140","102","40","1952",103,121,18
"535","3087","49.25,8.73333","8.73333","49.25","140","102","40","1952",102,112,10
"536","3091","49.2667,8.75","8.75","49.2667","180","102","40","1952",120,106,-14
"543","3126","49.3,9.28333","9.28333","49.3","180","102","40","1952",80,106,26
"544","3127","49.4167,9.28333","9.28333","49.4167","290","102","40","1952",97,119,22
"545","3137","48.95,8.58333","8.58333","48.95","160","102","40","1952",73,89,16
"550","3173","48.7667,8.25","8.25","48.7667","180","102","40","1952",64,102,38
"552","3231","47.7667,9","9","47.7667","420","102","40","1952",88,107,19
"553","3237","48.3333,7.88333","7.88333","48.3333","170","102","40","1952",90,101,11
"556","3326","48.0667,8.46667","8.46667","48.0667","710","102","40","1952",115,119,4
"558","3370","48.55,8.73333","8.73333","48.55","410","102","40","1952",121,124,3
"560","3424","48.4833,9.21667","9.21667","48.4833","380","102","40","1952",73,102,29
"561","3474","47.9833,8.8","8.8","47.9833","650","102","40","1952",85,111,26
"562","3483","48.4,11.75","11.75","48.4","470","102","40","1952",101,114,13
"563","3493","47.8667,12.65","12.65","47.8667","600","102","40","1952",91,104,13
"566","3508","47.8833,12.0167","12.0167","47.8833","490","102","40","1952",101,111,10
"567","3510","47.7833,12","12","47.7833","520","102","40","1952",111,122,11
"568","3516","47.6833,11.5667","11.5667","47.6833","680","102","40","1952",77,103,26
"569","3520","47.6333,13","13","47.6333","550","102","40","1952",96,118,22
"570","3545","48.4667,11.9333","11.9333","48.4667","420","102","40","1952",90,108,18
"573","3555","47.4833,11.1","11.1","47.4833","710","102","40","1952",79,107,28
"577","3581","48,12.6333","12.6333","48","530","102","40","1952",127,115,-12
"579","3585","48.0667,12.7667","12.7667","48.0667","390","102","40","1952",61,106,45
"588","3643","47.9667,11.15","11.15","47.9667","550","102","40","1952",81,109,28
"593","3694","48.8833,12.6","12.6","48.8833","330","102","40","1952",88,120,32
"594","3705","48.8167,12.8","12.8","48.8167","320","102","40","1952",89,107,18
"601","3739","48.8167,11.7667","11.7667","48.8167","350","102","40","1952",80,107,27
"602","3755","48.5667,11.75","11.75","48.5667","450","102","40","1952",109,127,18
"603","3767","48.7167,12.3667","12.3667","48.7167","460","102","40","1952",105,113,8
"605","3779","48.4333,12.9333","12.9333","48.4333","380","102","40","1952",101,111,10
"606","3781","48.4,13","13","48.4","400","102","40","1952",86,119,33
"611","3824","48.75,13.8167","13.8167","48.75","720","102","40","1952",103,125,22
"613","3832","49.45,11.8667","11.8667","49.45","370","102","40","1952",82,110,28
"614","3834","49.0167,12.1","12.1","49.0167","340","102","40","1952",89,124,35
"615","3841","49.5333,11.8","11.8","49.5333","390","102","40","1952",97,121,24
"617","3853","49.1167,11.45","11.45","49.1167","380","102","40","1952",94,99,5
"621","3865","49.3167,12.85","12.85","49.3167","400","102","40","1952",78,116,38
"622","3870","49.7,11.6333","11.6333","49.7","430","102","40","1952",89,101,12
"624","3873","49.75,11.7333","11.7333","49.75","470","102","40","1952",100,110,10
"626","3876","49.8667,11.9","11.9","49.8667","460","102","40","1952",97,90,-7
"628","3884","49.1667,11.45","11.45","49.1667","400","102","40","1952",103,118,15
"629","3886","49.3,11.2833","11.2833","49.3","440","102","40","1952",121,111,-10
"633","3921","49.1667,11.7167","11.7167","49.1667","550","102","40","1952",88,110,22
"636","3950","49.2,12.2667","12.2667","49.2","350","102","40","1952",101,131,30
"637","3963","49.95,12.2833","12.2833","49.95","550","102","40","1952",97,118,21
"638","3967","49.7833,12.3167","12.3167","49.7833","600","102","40","1952",78,85,7
"639","3974","49.9167,12.3833","12.3833","49.9167","530","102","40","1952",110,116,6
"641","3986","49.4333,12.5833","12.5833","49.4333","530","102","40","1952",123,119,-4
"642","3991","50.2667,10.9667","10.9667","50.2667","300","102","40","1952",97,109,12
"646","4013","49.7833,10.7","10.7","49.7833","300","102","40","1952",62,110,48
"649","4035","49.9,11.5833","11.5833","49.9","380","102","40","1952",124,121,-3
"653","4054","49.9333,11.2833","11.2833","49.9333","400","102","40","1952",95,122,27
"654","4055","49.95,11.1667","11.1667","49.95","450","102","40","1952",75,120,45
"657","4065","49.7,10.8167","10.8167","49.7","270","102","40","1952",79,92,13
"658","4068","49.7667,10.9","10.9","49.7667","310","102","40","1952",97,109,12
"659","4086","50.2667,11.4833","11.4833","50.2667","380","102","40","1952",80,99,19
"660","4087","49.9667,11.3833","11.3833","49.9667","450","102","40","1952",83,111,28
"663","4093","50.1,11.65","11.65","50.1","470","102","40","1952",80,103,23
"664","4098","50.1167,11.6167","11.6167","50.1167","370","102","40","1952",103,113,10
"666","4106","50.1667,11.1167","11.1167","50.1667","270","102","40","1952",89,109,20
"671","4135","50.2167,11.9667","11.9667","50.2167","520","102","40","1952",93,119,26
"673","4142","50.2167,11.5667","11.5667","50.2167","580","102","40","1952",101,111,10
"675","4148","50.1,11","11","50.1","280","102","40","1952",80,107,27
"677","4150","50.0667,12.1833","12.1833","50.0667","480","102","40","1952",85,109,24
"678","4152","50.1333,12","12","50.1333","530","102","40","1952",119,133,14
"680","4154","50.0333,11.9667","11.9667","50.0333","600","102","40","1952",98,109,11
"682","4157","50.1,11.8833","11.8833","50.1","620","102","40","1952",136,153,17
"684","4170","49.4,10.5167","10.5167","49.4","460","102","40","1952",85,101,16
"685","4172","49.3333,10.8","10.8","49.3333","400","102","40","1952",79,120,41
"689","4180","49.0667,10.3167","10.3167","49.0667","440","102","40","1952",69,117,48
"694","4197","49.55,11.0333","11.0333","49.55","300","102","40","1952",80,96,16
"700","4229","49.55,10.7167","10.7167","49.55","330","102","40","1952",101,111,10
"703","4240","49.3833,10.3333","10.3333","49.3833","440","102","40","1952",101,119,18
"707","4256","49.45,10.3167","10.3167","49.45","350","102","40","1952",110,110,0
"709","4264","48.9333,10.9833","10.9833","48.9333","410","102","40","1952",83,110,27
"716","4322","50.2,10.7667","10.7667","50.2","310","102","40","1952",79,119,40
"717","4329","50.0667,9.8","9.8","50.0667","240","102","40","1952",69,97,28
"718","4333","50.1,9.65","9.65","50.1","180","102","40","1952",77,103,26
"719","4334","50.1,9.73333","9.73333","50.1","170","102","40","1952",141,149,8
"720","4335","50.1,9.8","9.8","50.1","240","102","40","1952",116,111,-5
"721","4343","49.8,10.35","10.35","49.8","250","102","40","1952",87,104,17
"723","4350","50.2,9.83333","9.83333","50.2","410","102","40","1952",93,110,17
"726","4364","50.15,10.4333","10.4333","50.15","290","102","40","1952",79,117,38
"728","4371","50.0833,10.5667","10.5667","50.0833","360","102","40","1952",99,111,12
"730","4395","50.2667,10.5333","10.5333","50.2667","300","102","40","1952",131,107,-24
"731","4397","50.3333,10.35","10.35","50.3333","270","102","40","1952",117,134,17
"732","4405","49.85,9.6","9.6","49.85","150","102","40","1952",76,112,36
"742","4437","50.0167,10.2833","10.2833","50.0167","230","102","40","1952",112,121,9
"743","4445","49.8833,10.0333","10.0333","49.8833","260","102","40","1952",76,109,33
"747","4458","47.7333,10.3167","10.3167","47.7333","680","102","40","1952",73,116,43
"748","4463","48.2833,10.7","10.7","48.2833","530","102","40","1952",119,121,2
"749","4464","48.4333,10.8833","10.8833","48.4333","470","102","40","1952",70,106,36
"751","4474","48.6,10.5167","10.5167","48.6","420","102","40","1952",121,101,-20
"754","4495","48.4333,10.4167","10.4167","48.4333","460","102","40","1952",131,125,-6
"757","4501","48.4833,10.3667","10.3667","48.4833","450","102","40","1952",87,114,27
