"","id","name","GEN.SPA","Force","Light","Chill","good_flaskid","flo_day","Lbb_day","leaf_day","Lexpand_day","treatcode","Flo.poss.","Dead.alive"
"112","ACESAC17 HF DB_WL0_19","ACESAC17 HF DB","ACE.SAC","W","S",0,"WL0_19",NA,NA,NA,NA,"W_L_0","N","?"
"113","ILEMUC 10 HF DB_WL0_19","ILEMUC 10 HF DB","ILE.MUC","W","S",0,"WL0_19",NA,NA,NA,NA,"W_L_0","?","?"
"114","PRUVIR 3 HF DB_WL0_19","PRUVIR 3 HF DB","PRU.VIR","W","S",0,"WL0_19",NA,NA,NA,NA,"W_L_0","?","?"
"115","ACERUB25 HF DB_WL0_18","ACERUB25 HF DB","ACE.RUB","W","S",0,"WL0_18",NA,NA,NA,NA,"W_L_0","?","?"
"116","BETALL32 HF DB_WL0_18","BETALL32 HF DB","BET.ALL","W","S",0,"WL0_18",NA,42,54,45,"W_L_0","N","A"
"117","VACCOR 7 HF DB_WL0_18","VACCOR 7 HF DB","VAC.COR","W","S",0,"WL0_18",21,42,54,50,"W_L_0","Y","A"
"118","ACERUB22 HF DB_WL0_17","ACERUB22 HF DB","ACE.RUB","W","S",0,"WL0_17",NA,NA,NA,NA,"W_L_0","?","?"
"119","ILEMUC 10 HF DB_WL0_17","ILEMUC 10 HF DB","ILE.MUC","W","S",0,"WL0_17",NA,NA,NA,NA,"W_L_0","?","?"
"120","VIBACE5 HF DB_WL0_17","VIBACE5 HF DB","VIB.ACE","W","S",0,"WL0_17",NA,84,NA,NA,"W_L_0","?","A"
"121","ACESAC17 HF DB_WL0_16","ACESAC17 HF DB","ACE.SAC","W","S",0,"WL0_16",NA,NA,NA,NA,"W_L_0","N","?"
"122","VACCOR 11 HF DB_WL0_16","VACCOR 11 HF DB","VAC.COR","W","S",0,"WL0_16",28,19,30,26,"W_L_0","Y","A"
"123","VIBACE01 HF DB_WL0_16","VIBACE01 HF DB","VIB.ACE","W","S",0,"WL0_16",NA,NA,NA,NA,"W_L_0","?","A"
"124","ACEPEN18 HF DB_WL0_15","ACEPEN18 HF DB","ACE.PEN","W","S",0,"WL0_15",NA,98,104,101,"W_L_0","?","A"
"125","ACERUB23 HF DB_WL0_15","ACERUB23 HF DB","ACE.RUB","W","S",0,"WL0_15",NA,NA,NA,NA,"W_L_0","?","?"
"126","BETALL32 HF DB_WL0_15","BETALL32 HF DB","BET.ALL","W","S",0,"WL0_15",NA,68,73,70,"W_L_0","N","A"
"127","COMPER 3 HF DB_WL0_14","COMPER 3 HF DB","COM.PER","W","S",0,"WL0_14",NA,NA,NA,NA,"W_L_0","?","?"
"128","ILEVER10 HF DB_WL0_14","ILEVER10 HF DB","ILE.VER","W","S",0,"WL0_14",NA,NA,NA,NA,"W_L_0","N","D"
"129","VACCOR 2 HF DB_WL0_14","VACCOR 2 HF DB","VAC.COR","W","S",0,"WL0_14",NA,54,73,63,"W_L_0","N","A"
"130","COMPER 5 HF DB_WL0_13","COMPER 5 HF DB","COM.PER","W","S",0,"WL0_13",NA,NA,NA,NA,"W_L_0","?","?"
"131","ILEVER07 HF DB_WL0_13","ILEVER07 HF DB","ILE.VER","W","S",0,"WL0_13",NA,40,42,40,"W_L_0","N","D"
"132","PRUPEN 24 HF DB_WL0_13","PRUPEN 24 HF DB","PRU.PEN","W","S",0,"WL0_13",NA,33,NA,NA,"W_L_0","N","D"
"133","BETALL25 HF DB_WL0_12","BETALL25 HF DB","BET.ALL","W","S",0,"WL0_12",NA,61,90,73,"W_L_0","N","A"
"134","ILEVER04 HF DB_WL0_12","ILEVER04 HF DB","ILE.VER","W","S",0,"WL0_12",NA,NA,NA,33,"W_L_0","N","D"
"135","VACCOR 11 HF DB_WL0_12","VACCOR 11 HF DB","VAC.COR","W","S",0,"WL0_12",26,28,47,42,"W_L_0","Y","A"
"136","COMPER 5 HF DB_WL0_11","COMPER 5 HF DB","COM.PER","W","S",0,"WL0_11",47,90,104,93,"W_L_0","Y","A"
