name,GEN.SPA,Force,Light,Chill,good_flaskid,term.F,term.L,lat.F,lat.L,date
ACEPEN16 HF DB,ACE.PEN,C,L,0,CL0_5,0,0,0,0,11/23/17
ILEMUC 13 HF DB,ILE.MUC,C,L,0,CL0_5,0,0,0,0,11/23/17
VIBACE06 HF DB,VIB.ACE,C,L,0,CL0_5,0,0,0,0,11/23/17
BETALL32 HF DB,BET.ALL,C,L,0,CL0_4,0,0,0,0,11/23/17
COMPER 2 HF DB,COM.PER,C,L,0,CL0_4,0,0,0,0,11/23/17
PRUVIR 2 HF DB,PRU.VIR,C,L,0,CL0_4,0,0,0,0,11/23/17
COMPER 4 HF DB,COM.PER,C,L,0,CL0_3,0,0,0,0,11/23/17
CORCOR07_HF,COR.COR,C,L,0,CL0_3,0,0,0,0,11/23/17
ILEMUC 13 HF DB,ILE.MUC,C,L,0,CL0_3,0,0,0,0,11/23/17
COMPER 4 HF DB,COM.PER,C,L,0,CL0_24,0,0,0,0,11/23/17
PRUPEN17 HF DB,PRU.PEN,C,L,0,CL0_24,0,0,0,0,11/23/17
PRUVIR 4 HF DB,PRU.VIR,C,L,0,CL0_24,0,0,0,0,11/23/17
ACESAC12 HF DB,ACE.SAC,C,L,0,CL0_23,0,0,0,0,11/23/17
PRUPEN 23 HF DB,PRU.PEN,C,L,0,CL0_23,0,0,0,0,11/23/17
VACCOR 11 HF DB,VAC.COR,C,L,0,CL0_23,0,0,0,0,11/23/17
ACEPEN19 HF DB,ACE.PEN,C,L,0,CL0_22,0,0,0,0,11/23/17
ACESAC18 HF DB,ACE.SAC,C,L,0,CL0_22,0,0,0,0,11/23/17
VIBACE06 HF DB,VIB.ACE,C,L,0,CL0_22,0,0,0,0,11/23/17
ILEMUC 11 HF DB,ILE.MUC,C,L,0,CL0_21,0,0,0,0,11/23/17
PRUPEN 23 HF DB,PRU.PEN,C,L,0,CL0_21,0,0,0,0,11/23/17
VACCOR 3 HF DB,VAC.COR,C,L,0,CL0_21,0,0,0,0,11/23/17
ACEPEN17 HF DB,ACE.PEN,C,L,0,CL0_20,0,0,0,0,11/23/17
CORCOR10_HF,COR.COR,C,L,0,CL0_20,0,0,0,0,11/23/17
PRUVIR 2 HF DB,PRU.VIR,C,L,0,CL0_20,0,0,0,0,11/23/17
BETALL33 HF DB,BET.ALL,C,L,0,CL0_2,0,0,0,0,11/23/17
ILEVER04 HF DB,ILE.VER,C,L,0,CL0_2,0,0,0,0,11/23/17
PRUPEN 22 HF DB,PRU.PEN,C,L,0,CL0_2,0,0,0,0,11/23/17
ACERUB23 HF DB,ACE.RUB,C,L,0,CL0_19,0,0,0,0,11/23/17
PRUVIR 6 HF DB,PRU.VIR,C,L,0,CL0_19,0,0,0,0,11/23/17
VACCOR 11 HF DB,VAC.COR,C,L,0,CL0_19,0,0,0,0,11/23/17
COMPER 6 HF DB,COM.PER,C,L,0,CL0_18,0,0,0,0,11/23/17
ILEMUC 12 HF DB,ILE.MUC,C,L,0,CL0_18,0,0,0,0,11/23/17
VIBACE10 HF DB,VIB.ACE,C,L,0,CL0_18,0,0,0,0,11/23/17
ACERUB23 HF DB,ACE.RUB,C,L,0,CL0_17,0,0,0,0,11/23/17
BETALL31 HF DB,BET.ALL,C,L,0,CL0_17,0,0,0,0,11/23/17
CORCOR 16 HF DB,COR.COR,C,L,0,CL0_17,0,0,0,0,11/23/17
CORCOR09_HF,COR.COR,C,L,0,CL0_16,0,0,0,0,11/23/17
