,nomen,name,flask_id,treat,new_num
533,Viburnum_acerifolium,VIBACE08 HF DB,CS1_10,CS1,
68,Acer_rubrum,ACERUB22 HF DB,CS1_11,CS1,
438,Prunus_virginiana,PRUVIR 7 HF DB,CS1_11,CS1,
482,Vaccinium_corymbosum,VACCOR 10 HF DB,CS1_11,CS1,
6,Acer_pensylvanicum,ACEPEN20 HF DB,CS1_12,CS1,
224,Comptonia_peregrina,COMPER 1 HF DB,CS1_12,CS1,
355,Ilex_verticilata,ILEVER05 HF DB,CS1_12,CS1,
340,Ilex_verticilata,ILEVER09 HF DB,CS1_13,CS1,
410,Prunus_pensylvanica,PRUPEN16 HF DB,CS1_13,CS1,
443,Prunus_virginiana,PRUVIR 5 HF DB,CS1_13,CS1,
322,Ilex_mucronata,ILEMUC 11 HF DB,CS1_14,CS1,
338,Ilex_verticilata,ILEVER05 HF DB,CS1_14,CS1,
480,Prunus_virginiana,PRUVIR 5 HF DB,CS1_14,CS1,
193,Comptonia_peregrina,COMPER 1 HF DB,CS1_15,CS1,
248,Corylus_cornuta,CORCOR09_HF,CS1_15,CS1,
346,Ilex_verticilata,ILEVER01 HF DB,CS1_15,CS1,
105,Acer_saccharum,ACESAC12 HF DB,CS1_16,CS1,17
123,Acer_saccharum,ACESAC19 HF DB,CS1_16,CS1,
314,Ilex_mucronata,ILEMUC 10 HF DB,CS1_16,CS1,
13,Acer_pensylvanicum,ACEPEN20 HF DB,CS1_17,CS1,16
96,Acer_rubrum,ACERUB25 HF DB,CS1_17,CS1,
153,Betula_allagheniensis,BETALL25 HF DB,CS1_17,CS1,
11,Acer_pensylvanicum,ACEPEN19 HF DB,CS1_18,CS1,
41,Acer_pensylvanicum,ACEPEN18 HF DB,CS1_18,CS1,19
570,Viburnum_acerifolium,VIBACE01 HF DB,CS1_18,CS1,
293,Ilex_mucronata,ILEMUC 11 HF DB,CS1_19,CS1,
444,Prunus_virginiana,PRUVIR 4 HF DB,CS1_19,CS1,18
449,Prunus_virginiana,PRUVIR 4 HF DB,CS1_19,CS1,
335,Ilex_mucronata,ILEMUC 14 HF DB,CS1_2,CS1,
386,Prunus_pensylvanica,PRUPEN 21 HF DB,CS1_2,CS1,
571,Viburnum_acerifolium,VIBACE4 HF DB,CS1_2,CS1,
74,Acer_rubrum,ACERUB27 HF DB,CS1_20,CS1,
300,Ilex_mucronata,ILEMUC 13 HF DB,CS1_20,CS1,
426,Prunus_pensylvanica,PRUPEN16 HF DB,CS1_20,CS1,
165,Betula_allagheniensis,BETALL26 HF DB,CS1_21,CS1,
377,Ilex_verticilata,ILEVER01 HF DB,CS1_21,CS1,
531,Viburnum_acerifolium,VIBACE07 HF DB,CS1_21,CS1,
88,Acer_rubrum,ACERUB28 HF DB,CS1_22,CS1,
253,Corylus_cornuta,CORCOR 15 HF DB,CS1_22,CS1,
263,Corylus_cornuta,CORCOR 15 HF DB,CS1_22,CS1,23
215,Comptonia_peregrina,COMPER 6 HF DB,CS1_23,CS1,22
321,Ilex_mucronata,ILEMUC 12 HF DB,CS1_23,CS1,
520,Vaccinium_corymbosum,VACCOR 5 HF DB,CS1_23,CS1,
70,Acer_rubrum,ACERUB23 HF DB,CS1_24,CS1,
508,Vaccinium_corymbosum,VACCOR 1 HF DB,CS1_24,CS1,
539,Viburnum_acerifolium,VIBACE02 HF DB,CS1_24,CS1,
115,Acer_saccharum,ACESAC11 HF DB,CS1_3,CS1,
285,Corylus_cornuta,CORCOR14 HF DB,CS1_3,CS1,
342,Ilex_verticilata,ILEVER03 HF DB,CS1_3,CS1,
227,Comptonia_peregrina,COMPER 8 HF DB,CS1_4,CS1,
490,Vaccinium_corymbosum,VACCOR 9 HF DB,CS1_4,CS1,
552,Viburnum_acerifolium,VIBACE10 HF DB,CS1_4,CS1,
75,Acer_rubrum,ACERUB28 HF DB,CS1_5,CS1,
437,Prunus_virginiana,PRUVIR 7 HF DB,CS1_5,CS1,
514,Vaccinium_corymbosum,VACCOR 9 HF DB,CS1_5,CS1,
26,Acer_pensylvanicum,ACEPEN18 HF DB,CS1_6,CS1,
148,Betula_allagheniensis,BETALL32 HF DB,CS1_6,CS1,
526,Vaccinium_corymbosum,VACCOR 6 HF DB,CS1_6,CS1,
133,Acer_saccharum,ACESAC11 HF DB,CS1_7,CS1,
191,Betula_allagheniensis,BETALL26 HF DB,CS1_7,CS1,
216,Comptonia_peregrina,COMPER 8 HF DB,CS1_7,CS1,9
229,Comptonia_peregrina,COMPER 6 HF DB,CS1_8,CS1,
265,Corylus_cornuta,CORCOR 16 HF DB,CS1_8,CS1,
397,Prunus_pensylvanica,PRUPEN 22 HF DB,CS1_8,CS1,
21,Acer_pensylvanicum,ACEPEN15 HF DB,CS1_9,CS1,
418,Prunus_pensylvanica,PRUPEN 21 HF DB,CS1_9,CS1,7
432,Prunus_pensylvanica,PRUPEN 21 HF DB,CS1_9,CS1,
24,Acer_pensylvanicum,ACEPEN18 HF DB,WL0_1,WL0,
164,Betula_allagheniensis,BETALL32 HF DB,WL0_1,WL0,
278,Corylus_cornuta,CORCOR 17 HF DB,WL0_1,WL0,
130,Acer_saccharum,ACESAC18 HF DB,WL0_10,WL0,
223,Comptonia_peregrina,COMPER 6 HF DB,WL0_10,WL0,
228,Comptonia_peregrina,COMPER 5 HF DB,WL0_10,WL0,11
250,Corylus_cornuta,CORCOR 15 HF DB,WL0_11,WL0,10
409,Prunus_pensylvanica,PRUPEN 23 HF DB,WL0_11,WL0,
434,Prunus_virginiana,PRUVIR 5 HF DB,WL0_11,WL0,
353,Ilex_verticilata,ILEVER04 HF DB,WL0_12,WL0,
374,Ilex_verticilata,ILEVER07 HF DB,WL0_12,WL0,13
384,Ilex_verticilata,ILEVER06 HF DB,WL0_12,WL0,14
163,Betula_allagheniensis,BETALL25 HF DB,WL0_13,WL0,12
212,Comptonia_peregrina,COMPER 5 HF DB,WL0_13,WL0,
391,Prunus_pensylvanica,PRUPEN 24 HF DB,WL0_13,WL0,
237,Comptonia_peregrina,COMPER 1 HF DB,WL0_14,WL0,
506,Vaccinium_corymbosum,VACCOR 11 HF DB,WL0_14,WL0,12
510,Vaccinium_corymbosum,VACCOR 2 HF DB,WL0_14,WL0,
43,Acer_pensylvanicum,ACEPEN18 HF DB,WL0_15,WL0,
67,Acer_rubrum,ACERUB23 HF DB,WL0_15,WL0,
176,Betula_allagheniensis,BETALL32 HF DB,WL0_15,WL0,
124,Acer_saccharum,ACESAC17 HF DB,WL0_16,WL0,
507,Vaccinium_corymbosum,VACCOR 11 HF DB,WL0_16,WL0,
568,Viburnum_acerifolium,VIBACE01 HF DB,WL0_16,WL0,
78,Acer_rubrum,ACERUB22 HF DB,WL0_17,WL0,
292,Ilex_mucronata,ILEMUC 10 HF DB,WL0_17,WL0,
557,Viburnum_acerifolium,VIBACE5 HF DB,WL0_17,WL0,
69,Acer_rubrum,ACERUB25 HF DB,WL0_18,WL0,
149,Betula_allagheniensis,BETALL32 HF DB,WL0_18,WL0,
481,Vaccinium_corymbosum,VACCOR 5 HF DB,WL0_18,WL0,
126,Acer_saccharum,ACESAC17 HF DB,WL0_19,WL0,
294,Ilex_mucronata,ILEMUC 10 HF DB,WL0_19,WL0,
450,Prunus_virginiana,PRUVIR 3 HF DB,WL0_19,WL0,
9,Acer_pensylvanicum,ACEPEN20 HF DB,WL0_2,WL0,22
30,Acer_pensylvanicum,ACEPEN17 HF DB,WL0_2,WL0,
388,Prunus_pensylvanica,PRUPEN 23 HF DB,WL0_2,WL0,
10,Acer_pensylvanicum,ACEPEN15 HF DB,WL0_20,WL0,
81,Acer_rubrum,ACERUB25 HF DB,WL0_20,WL0,
411,Prunus_pensylvanica,PRUPEN 21 HF DB,WL0_20,WL0,
25,Acer_pensylvanicum,ACEPEN17 HF DB,WL0_21,WL0,
101,Acer_saccharum,ACESAC19 HF DB,WL0_21,WL0,
297,Ilex_mucronata,ILEMUC 11 HF DB,WL0_21,WL0,
100,Acer_saccharum,ACESAC19 HF DB,WL0_22,WL0,
236,Comptonia_peregrina,COMPER 1 HF DB,WL0_22,WL0,
436,Prunus_virginiana,PRUVIR 6 HF DB,WL0_22,WL0,2
242,Corylus_cornuta,CORCOR 16 HF DB,WL0_23,WL0,
392,Prunus_pensylvanica,PRUPEN 26 HF DB,WL0_23,WL0,
484,Vaccinium_corymbosum,VACCOR 6 HF DB,WL0_23,WL0,
251,Corylus_cornuta,CORCOR 16 HF DB,WL0_24,WL0,
382,Ilex_verticilata,ILEVER01 HF DB,WL0_24,WL0,
476,Prunus_virginiana,PRUVIR 4 HF DB,WL0_24,WL0,
200,Comptonia_peregrina,COMPER 8 HF DB,WL0_3,WL0,
348,Ilex_verticilata,ILEVER08 HF DB,WL0_3,WL0,
549,Viburnum_acerifolium,VIBACE08 HF DB,WL0_3,WL0,
260,Corylus_cornuta,CORCOR 16 HF DB,WL0_4,WL0,
341,Ilex_verticilata,ILEVER01 HF DB,WL0_4,WL0,
558,Viburnum_acerifolium,VIBACE09 HF DB,WL0_4,WL0,
49,Acer_rubrum,ACERUB25 HF DB,WL0_5,WL0,8
98,Acer_saccharum,ACESAC12 HF DB,WL0_5,WL0,
170,Betula_allagheniensis,BETALL26 HF DB,WL0_5,WL0,
452,Prunus_virginiana,PRUVIR 7 HF DB,WL0_6,WL0,
485,Vaccinium_corymbosum,VACCOR 1 HF DB,WL0_6,WL0,
534,Viburnum_acerifolium,VIBACE02 HF DB,WL0_6,WL0,
423,Prunus_pensylvanica,PRUPEN 23 HF DB,WL0_7,WL0,
466,Prunus_virginiana,PRUVIR 5 HF DB,WL0_7,WL0,
569,Viburnum_acerifolium,VIBACE06 HF DB,WL0_7,WL0,
282,Corylus_cornuta,CORCOR06 HF,WL0_8,WL0,
325,Ilex_mucronata,ILEMUC 9 HF DB,WL0_8,WL0,
333,Ilex_mucronata,ILEMUC 13 HF DB,WL0_8,WL0,5
84,Acer_rubrum,ACERUB22 HF DB,WL0_9,WL0,
160,Betula_allagheniensis,BETALL25 HF DB,WL0_9,WL0,
323,Ilex_mucronata,ILEMUC 13 HF DB,WL0_9,WL0,
448,Prunus_virginiana,PRUVIR 2 HF DB,WL1_1,WL1,
458,Prunus_virginiana,PRUVIR 6 HF DB,WL1_1,WL1,11
469,Prunus_virginiana,PRUVIR 3 HF DB,WL1_1,WL1,12
125,Acer_saccharum,ACESAC12 HF DB,WL1_10,WL1,
473,Prunus_virginiana,PRUVIR 2 HF DB,WL1_10,WL1,
518,Vaccinium_corymbosum,VACCOR 4 HF DB,WL1_10,WL1,
403,Prunus_pensylvanica,PRUPEN 24 HF DB,WL1_11,WL1,1
499,Vaccinium_corymbosum,VACCOR 4 HF DB,WL1_11,WL1,
561,Viburnum_acerifolium,VIBACE09 HF DB,WL1_11,WL1,
91,Acer_rubrum,ACERUB27 HF DB,WL1_12,WL1,1
412,Prunus_pensylvanica,PRUPEN 22 HF DB,WL1_12,WL1,
483,Vaccinium_corymbosum,VACCOR 9 HF DB,WL1_12,WL1,
77,Acer_rubrum,ACERUB22 HF DB,WL1_13,WL1,
217,Comptonia_peregrina,COMPER 1 HF DB,WL1_13,WL1,
