"","genus","species","silvics_pollin","silvic_phen_seq","flower_class","av_fruit_time","locality","flower_time","flower_locality","shade","height","imputed","imputed_pred","name","pro","pol","fruit_bin","shade_bin","fruiting","pro2","pro3"
"62","Morus","rubra","wind","syn","mono",7,"",4.5,"","tolerant",21,"Y","N","Morus_rubra",0,1,0,1,7,1,0
"63","Maclura","pomifera","wind","ser","dio",9.5,"",5,"","intolerant",9,"N","N","Maclura_pomifera",0,1,1,0,9.5,0,0
"64","Prunus","serotina","insect","syn","perfect",8.5,"allegheny",5,"","intolerant",25,"N","N","Prunus_serotina",0,0,0,0,8.5,1,0
"65","Prunus","pensylvanica","insect","syn","perfect",7,"",5,"","intolerant",24,"N","N","Prunus_pensylvanica",0,0,0,0,7,1,0
"66","Cercis","canadensis","insect","pro","bisexual",10,"",4,"","tolerant",15,"N","height,fruittime","Cercis_canadensis",1,0,1,1,10,1,1
"67","Gleditsia","triacanthos","insect","syn","polygamo-dio",10.5,"",6,"north","intolerant",24,"N","N","Gleditsia_triacanthos",0,0,1,0,10.5,1,0
"68","Robinia","pseudoacacia","insect","ser","perect",12.5,"",5.5,"","intolerant",18,"N","N","Robinia_pseudoacacia",0,0,1,0,12.5,0,0
"69","Cornus","florida","insect","pro","bisexual",9.5,"",5,"north","tolerant",12,"N","class","Cornus_florida",1,0,1,1,9.5,1,1
"70","Nyssa","sylvatica","insect","syn","polygamo-dio",10,"",5,"","tolerant",36,"Y","N","Nyssa_sylvatica",0,0,1,1,10,1,0
"71","Nyssa","ogeche","insect","ser","polygamo-dio",11.5,"",4,"","intolerant",10.7,"N","N","Nyssa_ogeche",0,0,1,0,11.5,0,0
"72","Nyssa","aquatica","ambo","pro/syn","polygamo-dio",10.5,"",3.5,"","intolerant",23,"N","N","Nyssa_aquatica",1,0,1,0,10.5,1,0
"73","Diospyros","virginiana","insect","syn","dio",10,"",4.5,"","tolerant",18,"N","N","Diospyros_virginiana",0,0,1,1,10,1,0
"74","Gordonia","lasianthus","insect","ser","perfect",10.5,"",6.5,"","tolerant",6.5,"N","N","Gordonia_lasianthus",0,0,1,1,10.5,0,0
"75","Halesia","carolina","insect","syn","perfect",12,"",5,"","tolerant",12,"N","fruit","Halesia_carolina",0,0,1,1,12,1,0
"76","Oxydendrum","arboreum","insect","ser","perect",9.5,"",7,"","tolerant",24,"Y","N","Oxydendrum_arboreum",0,0,1,1,9.5,0,0
"77","Fraxinus","profunda","wind","pro","dio",11,"",4.5,"","medium_tolerant",40,"N","N","Fraxinus_profunda",1,1,1,1,11,1,1
"78","Fraxinus","latifolia","wind","syn","dio",8.5,"",4.5,"","medium_tolerant",24,"N","N","Fraxinus_latifolia",0,1,0,1,8.5,1,0
"79","Fraxinus","pensylvanica","wind","pro/syn","dio",9.5,"",4.5,"north","tolerant",18,"N","N","Fraxinus_pennsylvanica",1,1,1,1,9.5,1,0
"80","Fraxinus","americana","wind","pro/syn","dio",10,"",4.5,"","intolerant",27,"N","N","Fraxinus_americana",1,1,1,0,10,1,0
"81","Fraxinus","nigra","wind","pro/syn","polygamous",8.5,"",5.5,"","intolerant",21,"N","N","Fraxinus_nigra",1,1,0,0,8.5,1,0
"82","Paulownia","tomentosa","insect","ser","perfect",9.5,"",4.5,"","intolerant",21,"Y","N","Paulownia_tomentosa",0,0,1,0,9.5,0,0
