"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset","taxa"
"288","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1911",110,NA,NA,"Prunus avium"
"289","7492","51.9833,5.91667","5.91667","51.9833","0","222","130","1911",108,NA,NA,"Prunus avium"
"291","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1911",109,NA,NA,"Prunus avium"
"293","7645","52.35,5.63333","5.63333","52.35","0","222","130","1911",109,NA,NA,"Prunus avium"
"294","7742","50.85,5.68333","5.68333","50.85","0","222","130","1911",107,NA,NA,"Prunus avium"
"297","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1911",109,NA,NA,"Prunus avium"
"298","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1912",101,NA,NA,"Prunus avium"
"299","7645","52.35,5.63333","5.63333","52.35","0","222","100","1912",103,NA,NA,"Prunus avium"
"300","7657","50.8833,5.98333","5.98333","50.8833","0","222","100","1912",93,NA,NA,"Prunus avium"
"302","7742","50.85,5.68333","5.68333","50.85","0","222","100","1912",86,NA,NA,"Prunus avium"
"303","7787","50.9167,5.88333","5.88333","50.9167","0","222","100","1912",94,NA,NA,"Prunus avium"
"305","7862","50.9333,5.88333","5.88333","50.9333","0","222","100","1912",95,NA,NA,"Prunus avium"
"306","7909","53.1,4.76667","4.76667","53.1","0","222","100","1912",109,NA,NA,"Prunus avium"
"307","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1912",98,NA,NA,"Prunus avium"
"308","7492","51.9833,5.91667","5.91667","51.9833","0","222","130","1912",109,NA,NA,"Prunus avium"
"309","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1912",101,NA,NA,"Prunus avium"
"310","7645","52.35,5.63333","5.63333","52.35","0","222","130","1912",99,NA,NA,"Prunus avium"
"311","7657","50.8833,5.98333","5.98333","50.8833","0","222","130","1912",91,NA,NA,"Prunus avium"
"313","7742","50.85,5.68333","5.68333","50.85","0","222","130","1912",86,NA,NA,"Prunus avium"
"316","7862","50.9333,5.88333","5.88333","50.9333","0","222","130","1912",97,NA,NA,"Prunus avium"
"318","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1912",96,NA,NA,"Prunus avium"
"320","7492","51.9833,5.91667","5.91667","51.9833","0","222","100","1913",100,NA,NA,"Prunus avium"
"321","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1913",91,NA,NA,"Prunus avium"
"322","7645","52.35,5.63333","5.63333","52.35","0","222","100","1913",101,NA,NA,"Prunus avium"
"323","7657","50.8833,5.98333","5.98333","50.8833","0","222","100","1913",101,NA,NA,"Prunus avium"
"324","7742","50.85,5.68333","5.68333","50.85","0","222","100","1913",82,NA,NA,"Prunus avium"
"325","7787","50.9167,5.88333","5.88333","50.9167","0","222","100","1913",95,NA,NA,"Prunus avium"
"327","7862","50.9333,5.88333","5.88333","50.9333","0","222","100","1913",92,NA,NA,"Prunus avium"
"329","7909","53.1,4.76667","4.76667","53.1","0","222","100","1913",109,NA,NA,"Prunus avium"
"331","7934","52,5.96667","5.96667","52","0","222","100","1913",95,NA,NA,"Prunus avium"
"332","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1913",98,NA,NA,"Prunus avium"
"333","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1913",94,NA,NA,"Prunus avium"
"335","7645","52.35,5.63333","5.63333","52.35","0","222","130","1913",91,NA,NA,"Prunus avium"
"336","7657","50.8833,5.98333","5.98333","50.8833","0","222","130","1913",92,NA,NA,"Prunus avium"
"337","7742","50.85,5.68333","5.68333","50.85","0","222","130","1913",82,NA,NA,"Prunus avium"
"338","7787","50.9167,5.88333","5.88333","50.9167","0","222","130","1913",98,NA,NA,"Prunus avium"
"341","7862","50.9333,5.88333","5.88333","50.9333","0","222","130","1913",93,NA,NA,"Prunus avium"
"343","7909","53.1,4.76667","4.76667","53.1","0","222","130","1913",91,NA,NA,"Prunus avium"
"345","7934","52,5.96667","5.96667","52","0","222","130","1913",84,NA,NA,"Prunus avium"
"346","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1913",89,NA,NA,"Prunus avium"
"348","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1914",107,NA,NA,"Prunus avium"
"349","7742","50.85,5.68333","5.68333","50.85","0","222","100","1914",92,NA,NA,"Prunus avium"
"350","7787","50.9167,5.88333","5.88333","50.9167","0","222","100","1914",103,NA,NA,"Prunus avium"
"352","7934","52,5.96667","5.96667","52","0","222","100","1914",115,NA,NA,"Prunus avium"
"353","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1914",103,NA,NA,"Prunus avium"
"354","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1914",100,NA,NA,"Prunus avium"
"355","7645","52.35,5.63333","5.63333","52.35","0","222","130","1914",97,NA,NA,"Prunus avium"
"356","7742","50.85,5.68333","5.68333","50.85","0","222","130","1914",92,NA,NA,"Prunus avium"
"357","7787","50.9167,5.88333","5.88333","50.9167","0","222","130","1914",105,NA,NA,"Prunus avium"
"360","7934","52,5.96667","5.96667","52","0","222","130","1914",95,NA,NA,"Prunus avium"
"361","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1914",99,NA,NA,"Prunus avium"
"363","7787","50.9167,5.88333","5.88333","50.9167","0","222","100","1915",104,NA,NA,"Prunus avium"
"365","7862","50.9333,5.88333","5.88333","50.9333","0","222","100","1915",100,NA,NA,"Prunus avium"
"366","7909","53.1,4.76667","4.76667","53.1","0","222","100","1915",111,NA,NA,"Prunus avium"
"367","7934","52,5.96667","5.96667","52","0","222","100","1915",122,NA,NA,"Prunus avium"
"368","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1915",120,NA,NA,"Prunus avium"
"370","7645","52.35,5.63333","5.63333","52.35","0","222","130","1915",107,NA,NA,"Prunus avium"
"371","7742","50.85,5.68333","5.68333","50.85","0","222","130","1915",110,NA,NA,"Prunus avium"
"372","7787","50.9167,5.88333","5.88333","50.9167","0","222","130","1915",100,NA,NA,"Prunus avium"
"373","7862","50.9333,5.88333","5.88333","50.9333","0","222","130","1915",102,NA,NA,"Prunus avium"
"374","7909","53.1,4.76667","4.76667","53.1","0","222","130","1915",136,NA,NA,"Prunus avium"
"375","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1915",115,NA,NA,"Prunus avium"
"379","7657","50.8833,5.98333","5.98333","50.8833","0","222","100","1916",112,NA,NA,"Prunus avium"
"380","7787","50.9167,5.88333","5.88333","50.9167","0","222","100","1916",99,NA,NA,"Prunus avium"
"381","7862","50.9333,5.88333","5.88333","50.9333","0","222","100","1916",97,NA,NA,"Prunus avium"
"382","7909","53.1,4.76667","4.76667","53.1","0","222","100","1916",107,NA,NA,"Prunus avium"
"383","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1916",110,NA,NA,"Prunus avium"
"389","7645","52.35,5.63333","5.63333","52.35","0","222","130","1916",97,NA,NA,"Prunus avium"
"390","7657","50.8833,5.98333","5.98333","50.8833","0","222","130","1916",93,NA,NA,"Prunus avium"
"391","7742","50.85,5.68333","5.68333","50.85","0","222","130","1916",78,NA,NA,"Prunus avium"
"392","7787","50.9167,5.88333","5.88333","50.9167","0","222","130","1916",97,NA,NA,"Prunus avium"
"393","7862","50.9333,5.88333","5.88333","50.9333","0","222","130","1916",96,NA,NA,"Prunus avium"
"394","7909","53.1,4.76667","4.76667","53.1","0","222","130","1916",112,NA,NA,"Prunus avium"
"395","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1916",101,NA,NA,"Prunus avium"
"397","7492","51.9833,5.91667","5.91667","51.9833","0","222","100","1917",127,NA,NA,"Prunus avium"
"398","7545","52.7,6.76667","6.76667","52.7","0","222","100","1917",130,NA,NA,"Prunus avium"
"402","7657","50.8833,5.98333","5.98333","50.8833","0","222","100","1917",130,NA,NA,"Prunus avium"
"403","7787","50.9167,5.88333","5.88333","50.9167","0","222","100","1917",145,NA,NA,"Prunus avium"
"404","7862","50.9333,5.88333","5.88333","50.9333","0","222","100","1917",136,NA,NA,"Prunus avium"
"405","7909","53.1,4.76667","4.76667","53.1","0","222","100","1917",126,NA,NA,"Prunus avium"
"406","7934","52,5.96667","5.96667","52","0","222","100","1917",128,NA,NA,"Prunus avium"
"407","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1917",131,NA,NA,"Prunus avium"
"409","7492","51.9833,5.91667","5.91667","51.9833","0","222","130","1917",124,NA,NA,"Prunus avium"
"411","7545","52.7,6.76667","6.76667","52.7","0","222","130","1917",129,NA,NA,"Prunus avium"
"415","7645","52.35,5.63333","5.63333","52.35","0","222","130","1917",132,NA,NA,"Prunus avium"
"416","7657","50.8833,5.98333","5.98333","50.8833","0","222","130","1917",131,NA,NA,"Prunus avium"
"417","7787","50.9167,5.88333","5.88333","50.9167","0","222","130","1917",130,NA,NA,"Prunus avium"
"418","7862","50.9333,5.88333","5.88333","50.9333","0","222","130","1917",128,NA,NA,"Prunus avium"
"420","7909","53.1,4.76667","4.76667","53.1","0","222","130","1917",130,NA,NA,"Prunus avium"
