"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset","taxa"
"727","4942","52.9,12.8167","12.8167","52.9","40","106","20","1960",110,117,7,"Betula pendula"
"733","4978","52.4,13.2","13.2","52.4","50","106","20","1960",110,125,15,"Betula pendula"
"734","4979","52.2833,13.0333","13.0333","52.2833","50","106","20","1960",111,114,3,"Betula pendula"
"748","5048","53.2167,13.3333","13.3333","53.2167","70","106","20","1960",126,131,5,"Betula pendula"
"752","5074","54.1,13.4","13.4","54.1","2","106","20","1960",124,128,4,"Betula pendula"
"754","5084","53.5833,11.4167","11.4167","53.5833","45","106","20","1960",115,115,0,"Betula pendula"
"755","5086","53.65,11.3833","11.3833","53.65","60","106","20","1960",116,120,4,"Betula pendula"
"759","5103","53.7667,13.7833","13.7833","53.7667","10","106","20","1960",126,129,3,"Betula pendula"
"760","5109","54.1,11.9","11.9","54.1","15","106","20","1960",124,127,3,"Betula pendula"
"770","5159","53.7833,12.2","12.2","53.7833","10","106","20","1960",117,132,15,"Betula pendula"
"775","5283","54.4333,13.2167","13.2167","54.4333","2","106","20","1960",131,126,-5,"Betula pendula"
"777","5317","53.7333,12.5667","12.5667","53.7333","60","106","20","1960",132,128,-4,"Betula pendula"
"782","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1960",108,118,10,"Betula pendula"
"783","6862","46.0167,15.7","15.7","46.0167","179","106","20","1961",92,99,7,"Betula pendula"
"784","6863","46.25,15.25","15.25","46.25","244","106","20","1961",96,93,-3,"Betula pendula"
"785","6864","45.9333,15.5833","15.5833","45.9333","150","106","20","1961",96,92,-4,"Betula pendula"
"786","6865","45.5667,14.25","14.25","45.5667","424","106","20","1961",96,99,3,"Betula pendula"
"787","6866","46.5667,15.95","15.95","46.5667","310","106","20","1961",86,98,12,"Betula pendula"
"788","6868","46.0667,14.5167","14.5167","46.0667","299","106","20","1961",100,102,2,"Betula pendula"
"789","6869","45.9,13.6333","13.6333","45.9","55","106","20","1961",96,98,2,"Betula pendula"
"790","6870","45.8,15.1833","15.1833","45.8","220","106","20","1961",95,98,3,"Betula pendula"
"791","6872","46.5,13.7167","13.7167","46.5","864","106","20","1961",110,112,2,"Betula pendula"
"792","6873","46.4667,15.7667","15.7667","46.4667","240","106","20","1961",81,96,15,"Betula pendula"
"793","6874","46.8333,16.3","16.3","46.8333","308","106","20","1961",92,97,5,"Betula pendula"
"794","6875","46.2,15.5333","15.5333","46.2","245","106","20","1961",91,93,2,"Betula pendula"
"795","19291","45.6,17.233","17.233","45.6","161","106","20","1961",86,90,4,"Betula pendula"
"796","19293","44.533,15.4","15.4","44.533","566","106","20","1961",101,97,-4,"Betula pendula"
"797","19295","46.033,16.55","16.55","46.033","138","106","20","1961",93,97,4,"Betula pendula"
"798","19297","45.267,15.283","15.283","45.267","325","106","20","1961",93,90,-3,"Betula pendula"
"799","19300","45.817,16.033","16.033","45.817","121","106","20","1961",85,88,3,"Betula pendula"
"800","6862","46.0167,15.7","15.7","46.0167","179","106","20","1962",109,115,6,"Betula pendula"
"801","6863","46.25,15.25","15.25","46.25","244","106","20","1962",112,113,1,"Betula pendula"
"802","6864","45.9333,15.5833","15.5833","45.9333","150","106","20","1962",108,112,4,"Betula pendula"
"803","6865","45.5667,14.25","14.25","45.5667","424","106","20","1962",111,113,2,"Betula pendula"
"804","6866","46.5667,15.95","15.95","46.5667","310","106","20","1962",119,121,2,"Betula pendula"
"805","6868","46.0667,14.5167","14.5167","46.0667","299","106","20","1962",108,110,2,"Betula pendula"
