"specificEpithet","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass"
"mexicana",12508919,"DUKE",NA,NA,NA,"","Mississippi","amite","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508919",-90.8094826630169,31.1763376449972,"county_centroid"
"mexicana",23582576,"Harvard",1910,6,25,"1910-06-25","Arkansas","nevada ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23582576",NA,NA,"county_centroid"
"mexicana",12876992,"UARK",1990,4,13,"1990-04-13","Arkansas","baxter","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876992",-92.3434614096424,36.2916046024747,"county_centroid"
"mexicana",23732095,"Harvard",NA,NA,NA,"","Arkansas","saint francis ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732095",NA,NA,"county_centroid"
"mexicana",11586503,"IND",1921,9,28,"1921-09-28","Indiana","Posey","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11586503",-87.957003,38.100829,"geo_referenced"
"mexicana",2142242,"ASU",1990,6,5,"1990-06-05","Tamaulipas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=2142242",-99.464732,24.011004,"geo_referenced"
"mexicana",21268926,"UAM",1990,5,21,"1990-05-21","Arkansas","perry","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268926",-92.9415163009449,34.9423457912257,"county_centroid"
"mexicana",5803623,"MISSA",1936,5,11,"1936-05-11","Mississippi","hinds","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5803623",-90.4516691282567,32.2712519832417,"county_centroid"
"mexicana",15422813,"APSC",NA,NA,NA,"","Tennessee","cheatham","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15422813",-87.0928708657179,36.2622012748939,"county_centroid"
"mexicana",23732117,"Harvard",NA,NA,NA,"","Arkansas","pulaski ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732117",NA,NA,"county_centroid"
"mexicana",13497863,"TEX",1954,2,28,"1954-02-28","Texas","bell","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497863",-97.4841279396549,31.0402541427815,"county_centroid"
"mexicana",23732098,"Harvard",NA,NA,NA,"","Arkansas","garland ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732098",NA,NA,"county_centroid"
"mexicana",12508927,"DUKE",NA,NA,NA,"","Louisiana","vernon","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508927",-93.1825446999435,31.1079772876071,"county_centroid"
"mexicana",15369748,"NCU",1967,5,10,"1967-05-10","Alabama","winston","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369748",-87.3700359545126,34.1531492160645,"county_centroid"
"mexicana",16920037,"NCU",NA,NA,NA,"","Louisiana","saint landry","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920037",NA,NA,"county_centroid"
"mexicana",23732218,"Harvard",1946,10,19,"1946-10-19","Oklahoma","mcclain  (oklahoma)","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732218",NA,NA,"county_centroid"
"mexicana",22504781,"KANU",2006,5,11,"2006-05-11","Kansas","Anderson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22504781",-95.26588,38.17268,"geo_referenced"
"mexicana",12877158,"UARK",NA,NA,NA,"","Arkansas","montgomery","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877158",-93.6583185509703,34.5477290251178,"county_centroid"
"mexicana",22668010,"KANU",2003,4,13,"2003-04-13","Kansas","Johnson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22668010",-94.7997,38.9922,"geo_referenced"
"mexicana",11405526,"UCAC",1975,9,1,"1975-09-01","Arkansas","conway","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11405526",-92.6983587246906,35.2537343467359,"county_centroid"
"mexicana",23732193,"Harvard",1935,9,3,"1935-09-03","Oklahoma","murray ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732193",NA,NA,"county_centroid"
"mexicana",23732182,"Harvard",1914,9,8,"1914-09-08","Oklahoma","johnston ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732182",NA,NA,"county_centroid"
"mexicana",23732334,"Harvard",1902,3,22,"1902-03-22","Texas","bexar ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732334",NA,NA,"county_centroid"
"mexicana",5894914,"MISS",2000,10,18,"2000-10-18","Mississippi","Lafayette","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894914",-89.494233,34.36543,"geo_referenced"
"mexicana",23732246,"Harvard",1900,3,25,"1900-03-25","Texas","dallas ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732246",NA,NA,"county_centroid"
"mexicana",19212186,"UCHT",NA,NA,NA,"","Tennessee","cheatham","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212186",-87.0928708657179,36.2622012748939,"county_centroid"
"mexicana",10246794,"APCR",NA,NA,NA,"","Arkansas","johnson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246794",-93.4714218079629,35.5632314004738,"county_centroid"
"mexicana",5894924,"MISS",1967,6,1,"1967-06-01","Mississippi","lincoln","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894924",-90.46343596329,31.5391524955217,"county_centroid"
"mexicana",7188934,"ILL",NA,NA,NA,"","","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=7188934",NA,NA,"county_centroid"
"mexicana",21416849,"GA",NA,NA,NA,"","Missouri","shannon ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21416849",NA,NA,"county_centroid"
"mexicana",25302412,"NY",1967,4,1,"1967-04-01","Texas","Henderson Co.","https://midwestherbaria.org/portal/collections/individual/index.php?occid=25302412",-95.821218,32.204869,"geo_referenced"
"mexicana",23732151,"Harvard",NA,NA,NA,"","Louisiana","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732151",NA,NA,"county_centroid"
"mexicana",9176939,"LSU",1988,6,4,"1988-06-04","Louisiana","vernon","https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176939",-93.1825446999435,31.1079772876071,"county_centroid"
"mexicana",12877029,"UARK",NA,NA,NA,"","Arkansas","carroll","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877029",-93.547630936813,36.3378140869541,"county_centroid"
"mexicana",7188925,"ILL",NA,NA,NA,"","","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=7188925",NA,NA,"county_centroid"
"mexicana",7188959,"ILL",NA,NA,NA,"","","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=7188959",NA,NA,"county_centroid"
"mexicana",22988350,"ASU",1977,5,16,"1977-05-16","Louisiana","webster","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22988350",-93.3345588684405,32.7162422743978,"county_centroid"
"mexicana",7188939,"ILL",NA,NA,NA,"","","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=7188939",NA,NA,"county_centroid"
"mexicana",20807969,"UCHT",NA,NA,NA,"","Texas","austin","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20807969",-96.2806889668501,29.8902364526,"county_centroid"
