"id","name","GEN.SPA","Force","Light","Chill","good_flaskid","LBB","L11","L15","F60"
"ILEVER01 HF DB_WL0_4","ILEVER01 HF DB","ILE.VER","W","S",0,"WL0_4",26,30,37,NA
"VIBACE HF9 DB_WL0_4","VIBACE HF9 DB","VIB.ACE","W","S",0,"WL0_4",NA,NA,NA,NA
"COMPER 8 HF DB_WL0_3","COMPER 8 HF DB","COM.PER","W","S",0,"WL0_3",16,21,40,NA
"ILEVER08 HF DB_WL0_3","ILEVER08 HF DB","ILE.VER","W","S",0,"WL0_3",37,42,45,NA
"VIBACE08 HF DB_WL0_3","VIBACE08 HF DB","VIB.ACE","W","S",0,"WL0_3",NA,NA,NA,NA
"CORCOR 16 HF DB_WL0_24","CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_24",NA,NA,NA,NA
"ILEVER01 HF DB_WL0_24","ILEVER01 HF DB","ILE.VER","W","S",0,"WL0_24",23,26,37,NA
"PRUVIR 4 HF DB_WL0_24","PRUVIR 4 HF DB","PRU.VIR","W","S",0,"WL0_24",NA,NA,NA,NA
"CORCOR 16 HF DB_WL0_23","CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_23",NA,NA,NA,NA
"PRUPEN 26 HF DB_WL0_23","PRUPEN 26 HF DB","PRU.PEN","W","S",0,"WL0_23",16,21,42,NA
"VACCOR 6 HF DB_WL0_23","VACCOR 6 HF DB","VAC.COR","W","S",0,"WL0_23",NA,NA,NA,NA
"ACEPEN14 HF DB_WL0_22","ACEPEN14 HF DB","ACE.PEN","W","S",0,"WL0_22",93,NA,NA,NA
"ACESAC13 HF DB_WL0_22","ACESAC13 HF DB","ACE.SAC","W","S",0,"WL0_22",NA,NA,NA,NA
"COMPER ? HF DB_WL0_22","COMPER ? HF DB","COM.PER","W","S",0,"WL0_22",56,NA,NA,NA
"ACEPEN17 HF DB_WL0_21","ACEPEN17 HF DB","ACE.PEN","W","S",0,"WL0_21",NA,NA,98,NA
"ACESAC16 HF DB_WL0_21","ACESAC16 HF DB","ACE.SAC","W","S",0,"WL0_21",NA,NA,NA,NA
"ILEMUC 11 HF DB_WL0_21","ILEMUC 11 HF DB","ILE.MUC","W","S",0,"WL0_21",NA,NA,NA,NA
"ACEPEN15 HF DB_WL0_20","ACEPEN15 HF DB","ACE.PEN","W","S",0,"WL0_20",NA,112,NA,NA
"ACERUB25 HF DB_WL0_20","ACERUB25 HF DB","ACE.RUB","W","S",0,"WL0_20",NA,NA,NA,NA
"PRUPEN 21 HF DB_WL0_20","PRUPEN 21 HF DB","BET.SPP","W","S",0,"WL0_20",33,40,52,NA
"ACEPEN17 HF DB_WL0_2","ACEPEN17 HF DB","ACE.PEN","W","S",0,"WL0_2",NA,NA,NA,NA
"PRUPEN 23 HF DB_WL0_2","PRUPEN 23 HF DB","PRU.PEN","W","S",0,"WL0_2",26,40,NA,NA
"PRUVIR 6 HF DB_WL0_2","PRUVIR 6 HF DB","PRU.VIR","W","S",0,"WL0_2",73,NA,NA,NA
"ACESAC17 HF DB_WL0_19","ACESAC17 HF DB","ACE.SAC","W","S",0,"WL0_19",NA,NA,NA,NA
"ILEMUC 10 HF DB_WL0_19","ILEMUC 10 HF DB","ILE.MUC","W","S",0,"WL0_19",NA,NA,NA,NA
"PRUVIR 3 HF DB_WL0_19","PRUVIR 3 HF DB","PRU.VIR","W","S",0,"WL0_19",NA,NA,NA,NA
"ACERUB25 HF DB_WL0_18","ACERUB25 HF DB","ACE.RUB","W","S",0,"WL0_18",NA,NA,NA,NA
"BETALL32 HF DB_WL0_18","BETALL32 HF DB","BET.ALL","W","S",0,"WL0_18",40,45,54,NA
"VACCOR 7 HF DB_WL0_18","VACCOR 7 HF DB","VAC.COR","W","S",0,"WL0_18",42,50,54,21
"ACERUB22 HF DB_WL0_17","ACERUB22 HF DB","ACE.RUB","W","S",0,"WL0_17",NA,NA,NA,NA
"ILEMUC 10 HF DB_WL0_17","ILEMUC 10 HF DB","ILE.MUC","W","S",0,"WL0_17",NA,NA,NA,NA
"VIBACE5 HF DB_WL0_17","VIBACE5 HF DB","VIB.ACE","W","S",0,"WL0_17",42,NA,NA,NA
