specificEpithet,id,references,obs_number,,,,,,pental_lengh_mm,who_done_it,note
mexicana,5465867,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465873,7,1.247,202.105,152,215.667,79.216,5.09,SC,
mexicana,5465867,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465874,8,1.247,162.217,95.333,200.667,129.094,4.908,SC,
mexicana,5465867,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465875,9,1.361,177.632,140.333,201.574,113.199,5.44,SC,
mexicana,5465867,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876,10,0.907,206.207,201.222,211.754,31.608,3.634,SC,
mexicana,3848982,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848982,1,1.99,210.23,194.501,220,147.724,6.609,SC,
mexicana,3848982,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848983,2,2.336,213.918,192.523,224.978,13.496,7.562,SC,
mexicana,3848982,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848984,3,1.903,207.956,179.333,225.333,-87.274,6.183,SC,
mexicana,3848982,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848985,4,2.249,189.485,151.147,218.333,-85.426,7.376,SC,
mexicana,3848982,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848986,5,2.422,200.247,184,206.63,121.329,7.919,SC,
mexicana,3848982,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848987,6,1.557,174.725,140.634,208.333,-20.556,5.026,SC,
mexicana,3848982,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848988,7,2.249,201.071,140.333,217.147,68.629,7.264,SC,
mexicana,3848982,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848989,8,2.336,178.889,98,217,147.529,7.67,SC,
mexicana,3848982,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848990,9,2.595,178.446,83.736,217.667,-170.218,8.655,SC,
mexicana,3848982,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848991,10,2.941,213.043,195.333,232.358,-147.265,9.79,SC,
mexicana,19749858,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19749858,1,1.037,148.904,97.212,197.667,-15.255,3.352,SC,
mexicana,19749858,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19749859,2,1.124,128.489,38.667,146.833,175.236,3.54,SC,
mexicana,19749858,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19749860,3,1.21,135.741,117.667,151.54,161.565,3.719,SC,
mexicana,19749858,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19749861,4,0.951,177.703,144,196.333,-119.055,3.027,SC,
mexicana,19749858,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19749862,5,0.778,145.05,122,181.667,-156.801,2.239,SC,
