"specificEpithet","id","references"
"gracilis",13273940,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273940"
"gracilis",25286611,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25286611"
"gracilis",13449650,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13449650"
"gracilis",9176727,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176727"
"gracilis",12508913,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508913"
"gracilis",9176738,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176738"
"gracilis",25305837,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25305837"
"gracilis",25286600,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25286600"
"gracilis",9176731,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176731"
"gracilis",5668024,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5668024"
"gracilis",13449653,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13449653"
"gracilis",13497841,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497841"
"gracilis",22988244,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22988244"
"munsoniana",25203850,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25203850"
"munsoniana",12509355,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12509355"
"munsoniana",21186208,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21186208"
"munsoniana",9176003,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176003"
"munsoniana",22620242,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620242"
"munsoniana",22620228,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620228"
"munsoniana",6816190,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6816190"
"munsoniana",8888685,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=8888685"
"munsoniana",22650900,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22650900"
"munsoniana",13283213,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13283213"
"munsoniana",16666979,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666979"
"munsoniana",22620243,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620243"
"munsoniana",22620249,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620249"
"munsoniana",16080190,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080190"
"munsoniana",21199444,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21199444"
"munsoniana",22689072,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22689072"
"munsoniana",22620225,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620225"
"munsoniana",22620229,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620229"
"munsoniana",20412852,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412852"
"munsoniana",22645445,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22645445"
"munsoniana",6816187,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6816187"
"munsoniana",16080435,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080435"
