"specificEpithet","id","references"
"maritima",24121162,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24121162"
"maritima",16666854,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666854"
"maritima",17182649,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=17182649"
"maritima",20412760,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412760"
"maritima",20412799,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412799"
"maritima",17192911,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=17192911"
"maritima",17193164,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=17193164"
"maritima",24096177,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24096177"
"maritima",20013583,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20013583"
"maritima",17198149,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=17198149"
"maritima",17198148,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=17198148"
"maritima",17566673,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=17566673"
"maritima",12547822,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12547822"
"maritima",24059553,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24059553"
"maritima",13273988,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273988"
"maritima",20412798,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412798"
"maritima",24512934,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24512934"
"maritima",20412837,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412837"
"maritima",20412753,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412753"
"maritima",20412748,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412748"
"maritima",20412766,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412766"
"maritima",24103016,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24103016"
"maritima",20412771,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412771"
"rivularis",22620292,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620292"
"rivularis",13939790,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13939790"
"rivularis",25126915,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25126915"
