specificEpithet,references,catalogNumber,flowers,leaves,bbch.f,bbch.v,flagged,note,flagged_question,question_note,entered_by,question_addressed
rivularis,http://data.huh.harvard.edu/9b7e725a-6eb2-485b-a332-6413f8d1d161/image,barcode-01723713,Y,Y,62,11,,,Y,67?,SC,Y many are still buds
rivularis,http://data.huh.harvard.edu/412baf77-87a3-4888-9582-0621a2e50dee/image,barcode-01723891,Y,Y,65,11,,,,,SC,
rivularis,http://data.huh.harvard.edu/8c69e0f8-8c22-428c-8258-c1e1b5110e17/image,barcode-01723833,N,Y,,,,,,,SC,
rivularis,http://data.huh.harvard.edu/821f303a-505e-44cb-8f29-6ed6958ffddc/image,barcode-01723655,N,Y,,,,,,,SC,
rivularis,http://data.huh.harvard.edu/2b010d0b-474f-4d52-8e29-341436779bda/image,barcode-01723783,N,Y,,,,,,,SC,
rivularis,http://data.huh.harvard.edu/441bcf50-741d-4127-b95e-5efb9a7ce747/image,barcode-01723889,Y,Y,89,19,,,Y,1 bud/fruit visible?,SC,Y
rivularis,http://data.huh.harvard.edu/97ef91d0-8034-4d5e-a39a-0ec8cb674ee6/image,barcode-01723768,Y,Y,65,10,,,Y,65 or 67 for bbch.f?,SC,Y
rivularis,http://data.huh.harvard.edu/59bca5f6-5031-4859-ac6f-ae957dea7582/image,barcode-01723733,N,Y,,,,,,,SC,
nigra,http://data.huh.harvard.edu/4e3613ba-e0ad-4bca-88ca-2e744cba4e11/image,barcode-01722879,N,Y,,,,,,,DB,
nigra,http://data.huh.harvard.edu/12d0fac6-1acd-42ac-887b-4af1787d08de/image,barcode-00740011,Y,Y,67,15,,,Y,67?,SC,Y
nigra,http://data.huh.harvard.edu/7efc4ce1-8ced-44f1-a865-eee0a8df7af0/image,barcode-00632922,N,Y,,,,,,,SC,
nigra,http://data.huh.harvard.edu/765d18bc-12cf-487a-9892-3e474ea40ecd/image,barcode-00632915,Y,Y,65,10,,,,,SC,
nigra,http://data.huh.harvard.edu/0eeb3241-56d7-4824-98a2-8c1012aacc24/image,barcode-00632900,Y,Y,89,19,,,,,SC,
nigra,http://data.huh.harvard.edu/247d2e9e-986e-44f1-a0e4-00c1160b9442/image,barcode-00742630,Y,Y,89,19,,,,,SC,
nigra,http://data.huh.harvard.edu/99370a79-884a-4bf4-b946-88296eb25c75/image,barcode-01722887,Y,Y,65,10,,,,,SC,
nigra,http://data.huh.harvard.edu/1e413b79-e903-42f9-81ce-ebaf7a88684c/image,barcode-01722906,N,Y,,,,,,,SC,
nigra,http://data.huh.harvard.edu/1cb64a3b-f006-4ab3-8eeb-92e9bc74d2a6/image,barcode-00742715,Y,Y,65,11,,,,,SC,
nigra,http://data.huh.harvard.edu/aa09e2ad-303f-465a-9e40-707aaceaa877/image,barcode-00742664,Y,Y,65,15,,,,,SC,
angustifolia,http://data.huh.harvard.edu/ab2b7a41-2ee0-44b1-9812-a01fc2efadce/image,barcode-01705990,Y,Y,89,19,,,,,DB,
angustifolia,http://data.huh.harvard.edu/d06a1cb1-1b67-4558-8a3d-9dc9fcb351ca/image,barcode-01705950,N,Y,,,,,,,SC,
angustifolia,http://data.huh.harvard.edu/05e34ad9-8030-4d28-b42b-cebd0f6fea61/image,barcode-01721277,Y,Y,65,11,,,,,SC,
angustifolia,http://data.huh.harvard.edu/64c94765-3dd8-4c38-a6e6-1485f4f6a301/image,barcode-01721229,Y,Y,89,19,,,,,SC,
angustifolia,http://data.huh.harvard.edu/f393abaf-eb96-4574-8bd1-b322ce57fdf4/image,barcode-01721307,N,Y,,,,,,,SC,
angustifolia,http://data.huh.harvard.edu/bcad2d0a-7c62-488f-9fd7-3cd5bc86a6cb/image,barcode-01705952,N,Y,,,,,,,SC,
