specificEpithet,id,references,fruit_type,obs_number,,,,,,fruit_diam_mm,who_done_it,note,certain
angustifolia,16658127,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16658127,dried,1,4.117,22.115,7.333,78.255,14.47,13.92,SC,,
angustifolia,25180305,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25180305,dried,1,6.703,22.434,13.144,105.333,-171.193,21.772,SC,,
angustifolia,25180305,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25180306,dried,2,6.52,24.732,7.256,131,15.832,21.104,SC,,
angustifolia,25180305,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25180307,dried,3,5.969,21.76,6.226,65.333,-10.784,19.434,SC,,
angustifolia,22620129,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620129,fleshy,1,1.422,48.645,29.162,102.583,27.867,16.68,SC,,
angustifolia,22620129,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620130,fleshy,2,1.558,59.083,34.291,159.281,-76.092,18.334,SC,,
angustifolia,22620129,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620131,fleshy,3,1.537,61.833,12.667,208.583,-85.684,18.017,SC,,
angustifolia,16537887,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16537887,dried,1,6.396,35.502,10.841,118.889,31.504,21.379,SC,,
angustifolia,16537887,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16537888,dried,2,5.964,32.97,11.345,62.191,-67.574,20.037,SC,,
angustifolia,16537887,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16537889,dried,3,6.137,34.647,15.707,67.778,-104.036,20.607,SC,,
angustifolia,24660454,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24660454,dried,1,1.229,58.108,18.631,213.667,53.591,19.116,SC,,
angustifolia,22620101,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620101,dried,1,1.598,69.059,18.971,146.986,51.843,18.418,SC,,
angustifolia,22620101,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620102,dried,2,1.702,41.054,9.971,91.083,-108.435,19.628,SC,,
angustifolia,13280573,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13280573,fleshy,1,3.812,49.488,31.683,117.611,0.955,15.002,SC,,
angustifolia,13280573,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13280574,fleshy,2,3.75,59.92,35.266,127,16.887,14.631,SC,,
angustifolia,13280573,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13280575,fleshy,3,4.188,48.924,29.441,70.96,-79.54,16.525,SC,,
angustifolia,13280573,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13280576,fleshy,4,4.062,47.18,18.333,66,147.804,15.953,SC,,
angustifolia,13280573,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13280577,fleshy,5,4.188,53.364,41.162,130.611,-92.603,16.517,SC,,
angustifolia,5734184,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5734184,,,,,,,,,SC,"fruit is crushed, difficult to take size measurement",
angustifolia,15833725,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15833725,fleshy,1,3.189,36.605,20.868,114.333,-83.118,13.583,SC,,
angustifolia,15833725,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15833726,fleshy,2,3.514,77.431,49.517,93.292,-36.69,14.787,SC,,
angustifolia,15833725,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15833727,fleshy,3,3.784,84.523,60.691,135.167,-50.301,16.015,SC,,
angustifolia,15833725,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15833728,fleshy,4,2.973,76.963,41.608,208.519,147.771,12.643,SC,,
angustifolia,15836689,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15836689,dried,1,3.628,37.225,27.163,51.556,139.497,15.03,SC,,
angustifolia,22694233,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22694233,dried,1,1.345,82.829,31.067,169.222,88.091,15.526,SC,,
